Contest number,Word,D,pos_0,pos_1,pos_2,pos_3,pos_4,Mul,VN,VP,FS,FF,FB,FE
244,dodge,4.66,d,o,d,g,e,4,2,9,0.5397965178080866,0.04794816414686825,0.011987041036717062,0.00021335975615388158
245,swill,5.08,s,w,i,l,l,4,1,4,0.5427057120407377,0.15809935205183584,0.03952483801295896,1.3295807368471678e-06
246,tacit,4.35,t,a,c,i,t,4,2,10,0.5871331288148351,0.06436285097192225,0.016090712742980563,8.585166037629451e-06
247,other,3.96,o,t,h,e,r,1,2,18,0.6519890535246811,0.017710583153347732,0.004427645788336933,0.014136060425799816
248,thorn,3.47,t,h,o,r,n,1,1,4,0.5378654940597152,0.06436285097192225,0.016090712742980563,2.0538823831881558e-05
249,trove,4.68,t,r,o,v,e,1,2,5,0.6160236683176634,0.06436285097192225,0.016090712742980563,1.0146851304620336e-05
250,bloke,4.15,b,l,o,k,e,1,2,5,0.5465562155984638,0.07473002159827213,0.018682505399568033,1.1077378678363449e-05
251,vivid,4.7,v,i,v,i,d,16,2,10,0.3511992705592467,0.018574514038876888,0.004643628509719222,6.471526778552247e-05
252,spill,4.09,s,p,i,l,l,4,1,4,0.5727290654131548,0.15809935205183584,0.03952483801295896,5.620792741102536e-05
253,chant,3.79,c,h,a,n,t,1,1,4,0.5136958257189477,0.08552915766738661,0.021382289416846653,1.9856278174802015e-05
254,choke,3.84,c,h,o,k,e,1,2,5,0.5147862415540866,0.08552915766738661,0.021382289416846653,2.0921277661490336e-05
255,rupee,4.38,r,u,p,e,e,4,3,11,0.6970612852238594,0.04535637149028078,0.011339092872570195,4.0907029308167614e-05
256,nasty,4.02,n,a,s,t,y,1,1,8,0.6220300268068261,0.015982721382289417,0.003995680345572354,0.00010741078486402507
257,mourn,3.9,m,o,u,r,n,1,2,12,0.5045510966235397,0.04622030237580994,0.011555075593952484,1.1254310346524168e-05
258,ahead,4.27,a,h,e,a,d,4,3,22,0.6975983783359825,0.06090712742980561,0.015226781857451403,0.00040993651712766693
259,brine,4.13,b,r,i,n,e,1,2,5,0.6069821618174083,0.07473002159827213,0.018682505399568033,1.1788745979762469e-05
260,cloth,3.86,c,l,o,t,h,1,1,4,0.4869550935502902,0.08552915766738661,0.021382289416846653,0.0001410618965918017
261,hoard,3.89,h,o,a,r,d,1,2,12,0.5836764162554713,0.029805615550755938,0.0074514038876889845,6.2609424095004055e-06
262,sweet,4.329999999999999,s,w,e,e,t,4,2,6,0.7309641884556151,0.15809935205183584,0.03952483801295896,0.00046680839698462435
263,month,4.0200000000000005,m,o,n,t,h,1,1,8,0.45748987827994503,0.04622030237580994,0.011555075593952484,0.0017773775393161737
264,lapse,3.89,l,a,p,s,e,1,2,9,0.7319491199266506,0.03801295896328294,0.009503239740820735,2.1085914984129315e-05
265,watch,4.96,w,a,t,c,h,1,1,8,0.4520966294170615,0.035853131749460046,0.008963282937365011,0.0013292191299512698
266,today,3.91,t,o,d,a,y,1,2,10,0.5643114342351158,0.06436285097192225,0.016090712742980563,0.003456736610316292
267,focus,4.09,f,o,c,u,s,1,2,10,0.49010367859695747,0.05874730021598272,0.01468682505399568,0.00094810542734518
268,smelt,4.31,s,m,e,l,t,1,1,4,0.6602096027494679,0.15809935205183584,0.03952483801295896,4.3492944798553805e-06
269,tease,3.72,t,e,a,s,e,4,3,13,0.87689849055296,0.06436285097192225,0.016090712742980563,2.9172343776045992e-05
270,cater,4.680000000000001,c,a,t,e,r,1,2,10,0.7073119706959055,0.08552915766738661,0.021382289416846653,3.023495951771541e-05
271,movie,4.32,m,o,v,i,e,1,3,11,0.5404336313693572,0.04622030237580994,0.011555075593952484,0.0022887000485715715
272,saute,3.84,s,a,u,t,e,1,3,13,0.7471950639932665,0.15809935205183584,0.03952483801295896,7.894631223001703e-06
273,allow,4.359999999999999,a,l,l,o,w,4,2,18,0.5693578298853854,0.06090712742980561,0.015226781857451403,0.000968704379339296
274,renew,4.27,r,e,n,e,w,4,2,10,0.6826177989461697,0.04535637149028078,0.011339092872570195,9.478754031743255e-05
275,their,3.47,t,h,e,i,r,1,2,6,0.6336332906448088,0.06436285097192225,0.016090712742980563,0.011309778084989475
276,slosh,4.319999999999999,s,l,o,s,h,4,1,4,0.6461491660943,0.15809935205183584,0.03952483801295896,7.459532745823915e-07
277,purge,4.25,p,u,r,g,e,1,2,9,0.5405371944458575,0.061339092872570194,0.015334773218142549,1.9736469705457945e-05
278,chest,3.65,c,h,e,s,t,1,1,4,0.6195230302191382,0.08552915766738661,0.021382289416846653,0.00019527081542997408
279,depot,3.9,d,e,p,o,t,1,2,10,0.5891453897913559,0.04794816414686825,0.011987041036717062,0.00013996683302399619
280,epoxy,4.61,e,p,o,x,y,1,2,20,0.48096708862709203,0.031101511879049675,0.007775377969762419,2.7565858549639217e-05
282,found,4.760000000000001,f,o,u,n,d,1,2,12,0.41636031519655403,0.05874730021598272,0.01468682505399568,0.0033517751162357215
283,shall,4.47,s,h,a,l,l,4,1,4,0.6320542111158648,0.15809935205183584,0.03952483801295896,0.002773290374368608
284,stove,4.57,s,t,o,v,e,1,2,5,0.6475185577534393,0.15809935205183584,0.03952483801295896,5.655758668794982e-05
285,lowly,4.950000000000001,l,o,w,l,y,4,1,8,0.45840137927372493,0.03801295896328294,0.009503239740820735,7.85170936572192e-06
286,snout,4.47,s,n,o,u,t,1,2,6,0.5887292405178478,0.15809935205183584,0.03952483801295896,3.731846732201183e-06
287,trope,3.62,t,r,o,p,e,1,2,5,0.6553619347122963,0.06436285097192225,0.016090712742980563,1.5807696740816265e-06
288,fewer,4.88,f,e,w,e,r,4,2,10,0.6248118080552617,0.05874730021598272,0.01468682505399568,0.00015592272647029073
289,shawl,4.45,s,h,a,w,l,1,1,4,0.5528534829721833,0.15809935205183584,0.03952483801295896,1.4616373215065535e-05
290,natal,4.569999999999999,n,a,t,a,l,4,2,10,0.6745492584295987,0.015982721382289417,0.003995680345572354,4.348569243492053e-05
291,comma,4.63,c,o,m,m,a,4,2,9,0.5001223827776428,0.08552915766738661,0.021382289416846653,3.9173194309993327e-05
292,foray,4.67,f,o,r,a,y,1,2,10,0.5558704881914787,0.05874730021598272,0.01468682505399568,7.2206959418692326e-06
293,scare,4.090000000000001,s,c,a,r,e,1,2,5,0.7664992214529189,0.15809935205183584,0.03952483801295896,4.2946532652462954e-05
294,stair,3.4200000000000004,s,t,a,i,r,1,2,6,0.7148323119230691,0.15809935205183584,0.03952483801295896,2.9074812487424043e-05
295,black,3.83,b,l,a,c,k,1,1,4,0.45280684918763786,0.07473002159827213,0.018682505399568033,0.0035350238676128704
296,squad,4.31,s,q,u,a,d,1,2,6,0.5043251791428423,0.15809935205183584,0.03952483801295896,0.0001263351920997097
297,royal,4.03,r,o,y,a,l,1,2,10,0.6312780109241819,0.04535637149028078,0.011339092872570195,0.0006559949127344685
298,chunk,3.9099999999999993,c,h,u,n,k,1,1,4,0.3450899732093873,0.08552915766738661,0.021382289416846653,3.4257030817703045e-05
299,mince,4.11,m,i,n,c,e,1,2,9,0.5473868279521404,0.04622030237580994,0.011555075593952484,4.739159589432024e-06
300,shame,4.19,s,h,a,m,e,1,2,5,0.6751429525123773,0.15809935205183584,0.03952483801295896,9.802676085933306e-05
301,cheek,4.24,c,h,e,e,k,4,2,6,0.5889169592340466,0.08552915766738661,0.021382289416846653,3.8732663783560345e-05
302,ample,4.23,a,m,p,l,e,1,2,17,0.6200786147111046,0.06090712742980561,0.015226781857451403,4.6054560536686684e-05
303,flair,3.84,f,l,a,i,r,1,2,6,0.5817376019696036,0.05874730021598272,0.01468682505399568,2.7798656532879345e-05
304,foyer,5.25,f,o,y,e,r,1,2,10,0.5856589418609859,0.05874730021598272,0.01468682505399568,1.506139673968567e-05
305,cargo,4.27,c,a,r,g,o,1,2,9,0.5739292216292398,0.08552915766738661,0.021382289416846653,0.00014083841688454455
306,oxide,4.76,o,x,i,d,e,1,3,21,0.5391286717518637,0.017710583153347732,0.004427645788336933,7.687707708421319e-05
307,plant,3.37,p,l,a,n,t,1,1,4,0.558638309704671,0.061339092872570194,0.015334773218142549,0.0007692649573018994
308,olive,4.0600000000000005,o,l,i,v,e,1,3,21,0.5938669175960152,0.017710583153347732,0.004427645788336933,0.00013433030178699307
309,inert,4.0200000000000005,i,n,e,r,t,1,2,20,0.668582014761893,0.01468682505399568,0.00367170626349892,1.3520861792135242e-05
310,askew,4.63,a,s,k,e,w,1,2,18,0.6324848551667335,0.06090712742980561,0.015226781857451403,6.842995155358755e-06
311,heist,3.6999999999999993,h,e,i,s,t,1,2,12,0.6651281800805846,0.029805615550755938,0.0074514038876889845,6.062354779016431e-06
312,shown,3.99,s,h,o,w,n,1,1,4,0.49090968711993516,0.15809935205183584,0.03952483801295896,0.000993310580073464
313,zesty,4.79,z,e,s,t,y,1,1,8,0.5683832020284582,0.0012958963282937365,0.00032397408207343413,3.035648717286099e-06
314,stash,3.4599999999999995,s,t,a,s,h,4,1,4,0.6897413983366271,0.15809935205183584,0.03952483801295896,2.2446744451133387e-05
315,larva,4.75,l,a,r,v,a,4,2,9,0.6313275104267346,0.03801295896328294,0.009503239740820735,6.6787912409050326e-06
316,forgo,4.7700000000000005,f,o,r,g,o,4,2,9,0.4957490376841918,0.05874730021598272,0.01468682505399568,4.918113829123935e-06
317,story,4.06,s,t,o,r,y,1,1,4,0.6222316241912808,0.15809935205183584,0.03952483801295896,0.0019999448645555903
318,hairy,4.03,h,a,i,r,y,1,2,12,0.56037199208543,0.029805615550755938,0.0074514038876889845,0.0002753676096877513
319,train,3.1,t,r,a,i,n,1,2,6,0.6387935610923857,0.06436285097192225,0.016090712742980563,0.00045965785538100846
320,homer,4.76,h,o,m,e,r,1,2,10,0.5993057990661488,0.029805615550755938,0.0074514038876889845,6.185353132603981e-05
321,badge,4.239999999999999,b,a,d,g,e,1,2,9,0.5610631124737571,0.07473002159827213,0.018682505399568033,8.87784369574445e-05
322,midst,4.180000000000001,m,i,d,s,t,1,1,8,0.5284489068218072,0.04622030237580994,0.011555075593952484,4.88510257234699e-05
323,canny,4.720000000000001,c,a,n,n,y,4,1,8,0.5051717049461604,0.08552915766738661,0.021382289416846653,3.026344888242619e-06
324,shine,3.73,s,h,i,n,e,1,2,5,0.6482766800069151,0.15809935205183584,0.03952483801295896,8.497490451140207e-05
325,gecko,4.35,g,e,c,k,o,1,2,9,0.507334434358135,0.04967602591792657,0.012419006479481642,1.777278389970327e-05
326,farce,3.9,f,a,r,c,e,1,2,9,0.6326544797313278,0.05874730021598272,0.01468682505399568,1.0510813051658222e-05
327,slung,4.47,s,l,u,n,g,1,1,4,0.5070858991879317,0.15809935205183584,0.03952483801295896,3.6589041346227176e-06
328,tipsy,3.85,t,i,p,s,y,1,1,8,0.5277561569870319,0.06436285097192225,0.016090712742980563,4.037399502806164e-06
329,metal,3.89,m,e,t,a,l,1,2,10,0.6685059577142434,0.04622030237580994,0.011555075593952484,0.0008116548204812205
330,yield,4.53,y,i,e,l,d,1,2,12,0.5764941567928765,0.002591792656587473,0.0006479481641468683,0.00021702906208495042
331,delve,4.489999999999999,d,e,l,v,e,4,2,9,0.6246878728448089,0.04794816414686825,0.011987041036717062,9.259173553459465e-06
332,being,4.19,b,e,i,n,g,1,2,12,0.520037769109465,0.07473002159827213,0.018682505399568033,0.003507472629366014
333,scour,3.8,s,c,o,u,r,1,2,6,0.5924535308827729,0.15809935205183584,0.03952483801295896,5.944597775082568e-06
334,glass,4.37,g,l,a,s,s,4,1,4,0.683039622908801,0.04967602591792657,0.012419006479481642,0.0009182439212137596
335,gamer,4.5200000000000005,g,a,m,e,r,1,2,10,0.63619625588065,0.04967602591792657,0.012419006479481642,4.5435408050170484e-05
336,scrap,3.94,s,c,r,a,p,1,1,2,0.620799819058484,0.15809935205183584,0.03952483801295896,5.4278379723329296e-05
337,money,3.97,m,o,n,e,y,1,2,10,0.5630893169721236,0.04622030237580994,0.011555075593952484,0.0027478811693957385
338,hinge,4.11,h,i,n,g,e,1,2,9,0.5298373978631958,0.029805615550755938,0.0074514038876889845,2.5410620772941212e-05
339,album,4.090000000000001,a,l,b,u,m,1,2,18,0.47720267821006523,0.06090712742980561,0.015226781857451403,0.0011256234100989122
340,vouch,4.82,v,o,u,c,h,1,2,12,0.3660080852159959,0.018574514038876888,0.004643628509719222,5.619324932048471e-06
341,asset,3.94,a,s,s,e,t,4,2,18,0.8388136819186773,0.06090712742980561,0.015226781857451403,0.00026262734493113983
342,tiara,3.84,t,i,a,r,a,4,3,13,0.7231286668878444,0.06436285097192225,0.016090712742980563,1.3339364891089834e-05
343,crept,4.0,c,r,e,p,t,1,1,4,0.5914010219709775,0.08552915766738661,0.021382289416846653,8.505418931542477e-06
344,bayou,4.32,b,a,y,o,u,1,3,11,0.5088043977219365,0.07473002159827213,0.018682505399568033,2.019621466143725e-05
345,atoll,4.0,a,t,o,l,l,4,2,20,0.6478085262609412,0.06090712742980561,0.015226781857451403,1.3124625582235347e-05
346,manor,4.08,m,a,n,o,r,1,2,10,0.6044660695137257,0.04622030237580994,0.011555075593952484,0.0001023520589726648
347,creak,4.31,c,r,e,a,k,1,2,6,0.6386210910765311,0.08552915766738661,0.021382289416846653,1.7931830256752451e-06
348,showy,4.42,s,h,o,w,y,1,1,4,0.4642883423037333,0.15809935205183584,0.03952483801295896,4.258928873229653e-06
349,peach,3.52,p,e,a,c,h,1,2,12,0.5793920421807749,0.061339092872570194,0.015334773218142549,5.689303017639791e-05
350,froth,4.140000000000001,f,r,o,t,h,1,1,4,0.4800595031688072,0.05874730021598272,0.01468682505399568,4.023024797995197e-06
351,depth,3.95,d,e,p,t,h,1,1,8,0.5142038238892658,0.04794816414686825,0.011987041036717062,0.00046056736245776665
352,gloom,4.460000000000001,g,l,o,o,m,4,2,6,0.4907809446371249,0.04967602591792657,0.012419006479481642,1.2684672933382699e-05
353,flood,4.210000000000001,f,l,o,o,d,4,2,6,0.4895345559180826,0.05874730021598272,0.01468682505399568,0.00020195762472230633
354,trait,4.18,t,r,a,i,t,4,2,6,0.6556450611660554,0.06436285097192225,0.016090712742980563,2.4638056235784144e-05
355,girth,4.21,g,i,r,t,h,1,1,8,0.4771091998668069,0.04967602591792657,0.012419006479481642,7.121170975595109e-06
356,piety,4.0600000000000005,p,i,e,t,y,1,2,12,0.5658409656213146,0.061339092872570194,0.015334773218142549,8.601548867032102e-06
357,goose,4.73,g,o,o,s,e,4,3,13,0.6991734774758416,0.04967602591792657,0.012419006479481642,5.402262555321014e-05
358,float,3.7599999999999993,f,l,o,a,t,1,2,6,0.572401003528238,0.05874730021598272,0.01468682505399568,0.0001272581059363318
359,donor,4.03,d,o,n,o,r,4,2,10,0.5742828763621027,0.04794816414686825,0.011987041036717062,0.00010252523443655331
360,atone,3.53,a,t,o,n,e,1,3,21,0.7267290220423166,0.06090712742980561,0.015226781857451403,2.208951497790647e-06
361,primo,4.23,p,r,i,m,o,1,2,5,0.5101921996939316,0.061339092872570194,0.015334773218142549,1.3177342464501897e-05
362,apron,3.88,a,p,r,o,n,1,2,18,0.6087219809691193,0.06090712742980561,0.015226781857451403,2.3365858742664778e-05
363,blown,4.18,b,l,o,w,n,1,1,4,0.42267283937731637,0.07473002159827213,0.018682505399568033,6.110936947195648e-05
364,cacao,4.83,c,a,c,a,o,16,3,11,0.632152926386514,0.08552915766738661,0.021382289416846653,4.792252092125798e-06
365,loser,3.9,l,o,s,e,r,1,2,10,0.7637265602405744,0.03801295896328294,0.009503239740820735,3.653891046613265e-05
366,input,4.0,i,n,p,u,t,1,2,18,0.46275888387782316,0.01468682505399568,0.00367170626349892,0.0008262446691153484
367,gloat,4.19,g,l,o,a,t,1,2,6,0.58780646310611,0.04967602591792657,0.012419006479481642,1.6410856465296546e-06
368,awful,4.26,a,w,f,u,l,1,2,18,0.4383775982729489,0.06090712742980561,0.015226781857451403,7.537502878351343e-05
369,brink,4.07,b,r,i,n,k,1,1,4,0.4410192228067377,0.07473002159827213,0.018682505399568033,2.1451957090456423e-05
370,smite,4.21,s,m,i,t,e,1,2,5,0.6642451498128061,0.15809935205183584,0.03952483801295896,3.906351314524472e-06
371,beady,4.3100000000000005,b,e,a,d,y,1,2,12,0.5768422989705911,0.07473002159827213,0.018682505399568033,1.2709550563216354e-06
372,rusty,3.67,r,u,s,t,y,1,1,8,0.5666589153115476,0.04535637149028078,0.011339092872570195,4.017542184451718e-05
373,retro,4.050000000000001,r,e,t,r,o,4,2,9,0.7314816390366728,0.04535637149028078,0.011339092872570195,0.00011557810207024989
374,droll,4.54,d,r,o,l,l,4,1,4,0.5694930982606875,0.04794816414686825,0.011987041036717062,2.8328570274051482e-06
375,gawky,5.08,g,a,w,k,y,1,1,8,0.3733006687418464,0.04967602591792657,0.012419006479481642,4.4981990853695904e-07
376,hutch,4.79,h,u,t,c,h,4,1,8,0.3788321287116774,0.029805615550755938,0.0074514038876889845,1.9837193767711274e-05
377,pinto,4.0200000000000005,p,i,n,t,o,1,2,9,0.5183315927575565,0.061339092872570194,0.015334773218142549,1.6019806706680206e-05
378,egret,4.489999999999999,e,g,r,e,t,4,2,18,0.7186679640086896,0.031101511879049675,0.007775377969762419,5.7032616505929134e-06
379,lilac,4.3100000000000005,l,i,l,a,c,4,2,10,0.5886331923510866,0.03801295896328294,0.009503239740820735,2.511866257241374e-05
380,sever,4.71,s,e,v,e,r,4,2,10,0.7493416367546372,0.15809935205183584,0.03952483801295896,9.91502126632728e-06
381,field,4.08,f,i,e,l,d,1,2,12,0.5453095107181705,0.05874730021598272,0.01468682505399568,0.0019545140217383044
382,fluff,4.98,f,l,u,f,f,27,1,4,0.3000297069975605,0.05874730021598272,0.01468682505399568,1.1767537872563975e-05
383,agape,4.48,a,g,a,p,e,4,3,21,0.6802434117365947,0.06090712742980561,0.015226781857451403,5.987837465031538e-06
384,voice,4.09,v,o,i,c,e,1,3,13,0.5522973147979071,0.018574514038876888,0.004643628509719222,0.0009332799202337893
385,stead,4.38,s,t,e,a,d,1,2,6,0.7411022475619611,0.15809935205183584,0.03952483801295896,1.0470939498614735e-05
386,berth,4.07,b,e,r,t,h,1,1,8,0.5672478588688601,0.07473002159827213,0.018682505399568033,1.5256112590381364e-05
387,madam,4.53,m,a,d,a,m,16,2,10,0.5467600342183754,0.04622030237580994,0.011555075593952484,2.9234465615932585e-05
388,night,4.180000000000001,n,i,g,h,t,1,1,8,0.4325653384718995,0.015982721382289417,0.003995680345572354,0.0018857804533040062
389,bland,3.73,b,l,a,n,d,1,1,4,0.5069416161636223,0.07473002159827213,0.018682505399568033,2.3208863851025802e-05
390,liver,4.609999999999999,l,i,v,e,r,1,2,10,0.5984179372059169,0.03801295896328294,0.009503239740820735,0.00017537664293284125
391,wedge,4.659999999999999,w,e,d,g,e,4,2,9,0.5740007227121933,0.035853131749460046,0.008963282937365011,4.569351707142952e-05
392,roomy,4.33,r,o,o,m,y,4,2,12,0.5335024606870711,0.04535637149028078,0.011339092872570195,8.295259302512187e-06
393,wacky,4.25,w,a,c,k,y,1,1,8,0.39173312909856955,0.035853131749460046,0.008963282937365011,2.6898453285164594e-05
394,flock,4.18,f,l,o,c,k,1,1,4,0.39540694715709224,0.05874730021598272,0.01468682505399568,3.7346754429569493e-05
395,angry,3.9699999999999993,a,n,g,r,y,1,1,16,0.5312831059843448,0.06090712742980561,0.015226781857451403,0.0001338870841298115
396,trite,4.91,t,r,i,t,e,4,2,5,0.6854335148355627,0.06436285097192225,0.016090712742980563,4.153408427059497e-06
397,aphid,4.109999999999999,a,p,h,i,d,1,2,18,0.48920094905122236,0.06090712742980561,0.015226781857451403,4.263840832662545e-06
398,tryst,4.0600000000000005,t,r,y,s,t,4,0,0,0.5990902824799446,0.06436285097192225,0.016090712742980563,2.9720532895696396e-06
399,midge,4.279999999999999,m,i,d,g,e,1,2,9,0.5072816840693843,0.04622030237580994,0.011555075593952484,4.4603047630387694e-06
400,power,4.25,p,o,w,e,r,1,2,10,0.5769112383367405,0.061339092872570194,0.015334773218142549,0.003273624021344011
401,elope,4.24,e,l,o,p,e,4,3,21,0.7256916645504805,0.031101511879049675,0.007775377969762419,1.083289312106094e-06
402,cinch,4.96,c,i,n,c,h,4,1,8,0.4101782277986401,0.08552915766738661,0.021382289416846653,6.172411564192258e-06
403,motto,4.5,m,o,t,t,o,16,2,9,0.5492829442557048,0.04622030237580994,0.011555075593952484,2.7364627129225186e-05
404,stomp,4.05,s,t,o,m,p,1,1,4,0.5369015102982434,0.15809935205183584,0.03952483801295896,1.687457432964069e-05
405,upset,3.95,u,p,s,e,t,1,2,18,0.6312841152683388,0.014254859611231102,0.0035637149028077755,8.010082495390008e-05
406,bluff,4.359999999999999,b,l,u,f,f,4,1,4,0.31308734501765334,0.07473002159827213,0.018682505399568033,5.643943961664923e-05
407,cramp,3.96,c,r,a,m,p,1,1,4,0.508929313842938,0.08552915766738661,0.021382289416846653,5.8094466559804594e-06
408,quart,4.29,q,u,a,r,t,1,2,12,0.511354473306769,0.009935205183585313,0.002483801295896328,2.8924607657354068e-05
409,coyly,5.3500000000000005,c,o,y,l,y,4,1,8,0.4518096279613011,0.08552915766738661,0.021382289416846653,7.537546219169869e-07
410,youth,4.42,y,o,u,t,h,1,2,12,0.45112042075387837,0.002591792656587473,0.0006479481641468683,0.0007429519951341962
411,rhyme,4.1,r,h,y,m,e,1,1,1,0.532691612464941,0.04535637149028078,0.011339092872570195,2.211440705467963e-05
412,buggy,4.82,b,u,g,g,y,4,1,8,0.2996753875154002,0.07473002159827213,0.018682505399568033,2.8250094498641255e-05
413,alien,3.45,a,l,i,e,n,1,3,22,0.70912329093057,0.06090712742980561,0.015226781857451403,0.00015155639904875483
414,smear,4.39,s,m,e,a,r,1,2,6,0.7546355380243692,0.15809935205183584,0.03952483801295896,1.862973301052954e-05
415,unfit,4.16,u,n,f,i,t,1,2,18,0.4365287359163843,0.014254859611231102,0.0035637149028077755,1.1761903566155656e-05
416,patty,4.32,p,a,t,t,y,4,1,8,0.5312669331203433,0.061339092872570194,0.015334773218142549,3.3801403239483664e-05
417,cling,4.31,c,l,i,n,g,1,1,4,0.4442960234007966,0.08552915766738661,0.021382289416846653,1.36708643650521e-05
418,glean,4.04,g,l,e,a,n,1,2,6,0.6450856807124005,0.04967602591792657,0.012419006479481642,3.3654434523863593e-06
419,label,4.39,l,a,b,e,l,4,2,10,0.6603393909964166,0.03801295896328294,0.009503239740820735,0.0005975233521596129
