Id,Date,Contest number,reported_results
81,3/28/2022,282,173696
82,3/29/2022,283,149070
83,3/30/2022,284,158139
84,3/31/2022,285,135219
85,4/1/2022,286,144648
86,4/2/2022,287,155079
87,4/3/2022,288,124532
88,4/4/2022,289,129651
89,4/5/2022,290,121356
90,4/6/2022,291,117856
91,4/7/2022,292,117761
92,4/8/2022,293,141158
93,4/9/2022,294,134210
94,4/10/2022,295,126241
95,4/11/2022,296,109828
96,4/12/2022,297,114907
97,4/13/2022,298,123255
98,4/14/2022,299,113448
99,4/15/2022,300,129991
100,4/16/2022,301,107987
101,4/17/2022,302,106681
102,4/18/2022,303,112383
103,4/19/2022,304,108899
104,4/20/2022,305,102007
105,4/21/2022,306,97955
106,4/22/2022,307,119232
107,4/23/2022,308,95562
108,4/24/2022,309,97452
109,4/25/2022,310,91548
110,4/26/2022,311,103153
111,4/27/2022,312,98967
112,4/28/2022,313,88974
113,4/29/2022,314,106652
114,4/30/2022,315,77991
115,5/1/2022,316,77658
116,5/2/2022,317,95643
117,5/3/2022,318,85817
118,5/4/2022,319,107750
119,5/5/2022,320,85979
120,5/6/2022,321,76292
121,5/7/2022,322,74458
122,5/8/2022,323,72518
123,5/9/2022,324,88932
124,5/10/2022,325,74412
125,5/11/2022,326,79446
126,5/12/2022,327,75673
127,5/13/2022,328,77585
128,5/14/2022,329,73225
129,5/15/2022,330,67115
130,5/16/2022,331,68349
131,5/17/2022,332,70722
132,5/18/2022,333,73933
133,5/19/2022,334,70920
134,5/20/2022,335,69884
135,5/21/2022,336,66814
136,5/22/2022,337,67909
137,5/23/2022,338,66431
138,5/24/2022,339,63380
139,5/25/2022,340,62723
140,5/26/2022,341,63188
141,5/27/2022,342,63846
142,5/28/2022,343,60069
143,5/29/2022,344,56839
144,5/30/2022,345,60969
145,5/31/2022,346,62768
146,6/1/2022,347,63241
147,6/2/2022,348,61278
148,6/3/2022,349,65431
149,6/4/2022,350,58263
150,6/5/2022,351,56738
151,6/6/2022,352,58478
152,6/7/2022,353,58991
153,6/8/2022,354,61026
154,6/9/2022,355,60020
155,6/10/2022,356,55376
156,6/11/2022,357,51958
157,6/12/2022,358,56684
158,6/13/2022,359,53802
159,6/14/2022,360,59968
160,6/15/2022,361,55989
161,6/16/2022,362,53430
162,6/17/2022,363,54665
163,6/18/2022,364,47205
164,6/19/2022,365,55359
165,6/20/2022,366,50484
166,6/21/2022,367,53342
167,6/22/2022,368,47645
168,6/23/2022,369,53111
169,6/24/2022,370,50617
170,6/25/2022,371,46089
171,6/26/2022,372,50450
172,6/27/2022,373,47986
173,6/28/2022,374,47312
174,6/29/2022,375,45645
175,6/30/2022,376,44212
176,7/1/2022,377,47248
177,7/2/2022,378,41765
178,7/3/2022,379,40486
179,7/4/2022,380,42645
180,7/5/2022,381,44578
181,7/6/2022,382,47344
182,7/7/2022,383,43407
183,7/8/2022,384,42806
184,7/9/2022,385,47094
185,7/10/2022,386,41785
186,7/11/2022,387,40545
187,7/12/2022,388,46910
188,7/13/2022,389,46246
189,7/14/2022,390,40549
190,7/15/2022,391,39234
191,7/16/2022,392,38769
192,7/17/2022,393,39611
193,7/18/2022,394,42574
194,7/19/2022,395,39667
195,7/20/2022,396,42237
196,7/21/2022,397,39086
197,7/22/2022,398,43099
198,7/23/2022,399,36769
199,7/24/2022,400,39813
200,7/25/2022,401,39228
201,7/26/2022,402,39171
202,7/27/2022,403,38384
203,7/28/2022,404,40650
204,7/29/2022,405,37791
205,7/30/2022,406,37353
206,7/31/2022,407,39250
207,8/1/2022,408,36662
208,8/2/2022,409,34909
209,8/3/2022,410,38381
210,8/4/2022,411,37229
211,8/5/2022,412,37350
212,8/6/2022,413,38841
213,8/7/2022,414,36223
214,8/8/2022,415,35516
215,8/9/2022,416,36223
216,8/10/2022,417,37654
217,8/11/2022,418,37301
218,8/12/2022,419,34198
219,8/13/2022,420,35276
220,8/14/2022,421,31652
221,8/15/2022,422,35376
222,8/16/2022,423,35105
223,8/17/2022,424,35815
224,8/18/2022,425,34938
225,8/19/2022,426,33965
226,8/20/2022,427,38245
227,8/21/2022,428,35617
228,8/22/2022,429,35888
229,8/23/2022,430,33549
230,8/24/2022,431,33700
231,8/25/2022,432,36737
232,8/26/2022,433,34716
233,8/27/2022,434,31241
234,8/28/2022,435,30214
235,8/29/2022,436,34281
236,8/30/2022,437,33660
237,8/31/2022,438,35343
238,9/1/2022,439,31903
239,9/2/2022,440,35724
240,9/3/2022,441,31191
241,9/4/2022,442,32018
242,9/5/2022,443,32733
243,9/6/2022,444,32734
244,9/7/2022,445,30992
245,9/8/2022,446,31962
246,9/9/2022,447,32172
247,9/10/2022,448,29237
248,9/11/2022,449,27887
249,9/12/2022,450,29147
250,9/13/2022,451,29497
251,9/14/2022,452,32142
252,9/15/2022,453,33344
253,9/16/2022,454,37309
254,9/17/2022,455,33418
255,9/18/2022,456,33102
256,9/19/2022,457,35050
257,9/20/2022,458,31277
258,9/21/2022,459,31976
259,9/22/2022,460,34455
260,9/23/2022,461,31509
261,9/24/2022,462,32777
262,9/25/2022,463,28994
263,9/26/2022,464,31706
264,9/27/2022,465,30985
265,9/28/2022,466,31355
266,9/29/2022,467,30477
267,9/30/2022,468,31223
268,10/1/2022,469,28202
269,10/2/2022,470,30088
270,10/3/2022,471,32288
271,10/4/2022,472,32014
272,10/5/2022,473,30935
273,10/6/2022,474,32522
274,10/7/2022,475,29026
275,10/8/2022,476,26905
276,10/9/2022,477,28408
277,10/10/2022,478,26878
278,10/11/2022,479,28575
279,10/12/2022,480,29151
280,10/13/2022,481,27197
281,10/14/2022,482,28906
282,10/15/2022,483,30403
283,10/16/2022,484,30459
284,10/17/2022,485,31269
285,10/18/2022,486,28612
286,10/19/2022,487,28322
287,10/20/2022,488,28741
288,10/21/2022,489,28637
289,10/22/2022,490,29084
290,10/23/2022,491,29279
291,10/24/2022,492,28947
292,10/25/2022,493,28953
293,10/26/2022,494,30063
294,10/27/2022,495,27609
295,10/28/2022,496,27905
296,10/29/2022,497,25156
297,10/30/2022,498,24672
298,10/31/2022,499,26498
299,11/1/2022,500,27502
300,11/2/2022,501,27670
301,11/3/2022,502,29554
302,11/4/2022,503,27330
303,11/5/2022,504,29743
304,11/6/2022,505,31068
305,11/7/2022,506,26096
306,11/8/2022,507,27213
307,11/9/2022,508,28984
308,11/10/2022,509,27467
309,11/11/2022,510,25993
310,11/12/2022,511,24660
311,11/13/2022,512,25085
312,11/14/2022,513,26536
313,11/15/2022,514,27475
314,11/16/2022,515,25576
315,11/17/2022,516,27465
316,11/18/2022,517,29208
317,11/19/2022,518,24749
318,11/20/2022,519,24991
319,11/21/2022,520,24288
320,11/22/2022,521,27437
321,11/23/2022,522,26663
322,11/24/2022,523,27705
323,11/25/2022,524,24197
324,11/26/2022,525,26381
325,11/27/2022,526,25206
326,11/28/2022,527,26051
327,11/29/2022,528,23739
328,11/30/2022,529,2569
329,12/1/2022,530,22628
330,12/2/2022,531,24646
331,12/3/2022,532,23873
332,12/4/2022,533,25577
333,12/5/2022,534,23153
334,12/6/2022,535,23509
335,12/7/2022,536,24899
336,12/8/2022,537,21199
337,12/9/2022,538,23640
338,12/10/2022,539,21157
339,12/11/2022,540,21947
340,12/12/2022,541,22873
341,12/13/2022,542,24101
342,12/14/2022,543,20824
343,12/15/2022,544,22176
344,12/16/2022,545,22853
345,12/17/2022,546,22336
346,12/18/2022,547,22166
347,12/19/2022,548,26010
348,12/20/2022,549,24137
349,12/21/2022,550,22180
350,12/22/2022,551,20490
351,12/23/2022,552,21937
352,12/24/2022,553,20281
353,12/25/2022,554,15554
354,12/26/2022,555,20011
355,12/27/2022,556,20879
356,12/28/2022,557,20160
357,12/29/2022,558,20001
358,12/30/2022,559,21204
359,12/31/2022,560,0
360,1/1/2023,561,0
361,1/2/2023,562,0
362,1/3/2023,563,0
363,1/4/2023,564,0
364,1/5/2023,565,0
365,1/6/2023,566,0
366,1/7/2023,567,0
367,1/8/2023,568,0
368,1/9/2023,569,0
369,1/10/2023,570,0
370,1/11/2023,571,0
371,1/12/2023,572,0
372,1/13/2023,573,0
373,1/14/2023,574,0
374,1/15/2023,575,0
375,1/16/2023,576,0
376,1/17/2023,577,0
377,1/18/2023,578,0
378,1/19/2023,579,0
379,1/20/2023,580,0
380,1/21/2023,581,0
381,1/22/2023,582,0
382,1/23/2023,583,0
383,1/24/2023,584,0
384,1/25/2023,585,0
385,1/26/2023,586,0
386,1/27/2023,587,0
387,1/28/2023,588,0
388,1/29/2023,589,0
389,1/30/2023,590,0
390,1/31/2023,591,0
391,2/1/2023,592,0
392,2/2/2023,593,0
393,2/3/2023,594,0
394,2/4/2023,595,0
395,2/5/2023,596,0
396,2/6/2023,597,0
397,2/7/2023,598,0
398,2/8/2023,599,0
399,2/9/2023,600,0
400,2/10/2023,601,0
401,2/11/2023,602,0
402,2/12/2023,603,0
403,2/13/2023,604,0
404,2/14/2023,605,0
405,2/15/2023,606,0
406,2/16/2023,607,0
407,2/17/2023,608,0
408,2/18/2023,609,0
409,2/19/2023,610,0
410,2/20/2023,611,0
411,2/21/2023,612,0
412,2/22/2023,613,0
413,2/23/2023,614,0
414,2/24/2023,615,0
415,2/25/2023,616,0
416,2/26/2023,617,0
417,2/27/2023,618,0
418,2/28/2023,619,0
419,3/1/2023,620,0
420,3/2/2023,621,0
421,3/3/2023,622,0
422,3/4/2023,623,0
423,3/5/2023,624,0
424,3/6/2023,625,0
425,3/7/2023,626,0
426,3/8/2023,627,0
427,3/9/2023,628,0
428,3/10/2023,629,0
429,3/11/2023,630,0
430,3/12/2023,631,0
431,3/13/2023,632,0
432,3/14/2023,633,0
433,3/15/2023,634,0
434,3/16/2023,635,0
435,3/17/2023,636,0
436,3/18/2023,637,0
437,3/19/2023,638,0
438,3/20/2023,639,0
439,3/21/2023,640,0
440,3/22/2023,641,0
441,3/23/2023,642,0
442,3/24/2023,643,0
443,3/25/2023,644,0
444,3/26/2023,645,0
445,3/27/2023,646,0
446,3/28/2023,647,0
447,3/29/2023,648,0
448,3/30/2023,649,0
449,3/31/2023,650,0
450,4/1/2023,651,0
451,4/2/2023,652,0
452,4/3/2023,653,0
453,4/4/2023,654,0
454,4/5/2023,655,0
455,4/6/2023,656,0
456,4/7/2023,657,0
457,4/8/2023,658,0
458,4/9/2023,659,0
459,4/10/2023,660,0
460,4/11/2023,661,0
461,4/12/2023,662,0
462,4/13/2023,663,0
463,4/14/2023,664,0
464,4/15/2023,665,0
465,4/16/2023,666,0
466,4/17/2023,667,0
467,4/18/2023,668,0
468,4/19/2023,669,0
469,4/20/2023,670,0
470,4/21/2023,671,0
471,4/22/2023,672,0
472,4/23/2023,673,0
473,4/24/2023,674,0
474,4/25/2023,675,0
475,4/26/2023,676,0
476,4/27/2023,677,0
477,4/28/2023,678,0
478,4/29/2023,679,0
479,4/30/2023,680,0
480,5/1/2023,681,0
481,5/2/2023,682,0
482,5/3/2023,683,0
483,5/4/2023,684,0
484,5/5/2023,685,0
485,5/6/2023,686,0
486,5/7/2023,687,0
487,5/8/2023,688,0
488,5/9/2023,689,0
489,5/10/2023,690,0
490,5/11/2023,691,0
491,5/12/2023,692,0
492,5/13/2023,693,0
493,5/14/2023,694,0
494,5/15/2023,695,0
495,5/16/2023,696,0
496,5/17/2023,697,0
497,5/18/2023,698,0
498,5/19/2023,699,0
499,5/20/2023,700,0
500,5/21/2023,701,0
