Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X)
11/9/2022,508,rainy,28984,2678,1,16,38,31,11,3,1
11/8/2022,507,spell,27213,2531,0,4,24,37,24,9,1
11/7/2022,506,begin,26096,2439,0,6,26,36,23,7,1
11/6/2022,505,stale,31068,3013,2,19,30,27,15,6,2
11/5/2022,504,dream,29743,2751,5,14,31,29,15,4,1
11/4/2022,503,photo,27330,2565,0,5,34,43,15,3,0
11/3/2022,502,aloud,29554,2819,1,18,31,30,15,4,1
11/2/2022,501,inept,27670,2640,0,6,30,39,20,6,1
11/1/2022,500,piney,27502,3667,0,1,14,37,33,14,2
10/31/2022,499,aptly,26498,2572,0,3,26,41,23,7,1
10/30/2022,498,waltz,24672,2496,0,2,11,29,35,19,3
10/29/2022,497,libel,25156,2536,0,3,15,32,32,16,2
10/28/2022,496,sneak,27905,2636,0,7,28,36,21,7,1
10/27/2022,495,carry,27609,2615,0,4,22,35,24,12,3
10/26/2022,494,flout,30063,2904,0,6,28,37,21,7,1
10/25/2022,493,foggy,28953,2817,0,2,13,35,32,15,3
10/24/2022,492,fault,28947,2768,0,7,27,35,22,8,1
10/23/2022,491,mummy,29279,3021,0,1,4,14,27,37,18
10/22/2022,490,spiel,29084,2810,0,7,32,36,19,6,1
10/21/2022,489,grove,28637,2794,0,4,18,30,28,17,3
10/20/2022,488,denim,28741,2769,0,5,29,40,20,5,0
10/19/2022,487,quirk,28322,2794,0,3,23,39,24,9,2
10/18/2022,486,exist,28612,2805,0,5,24,38,23,8,1
10/17/2022,485,stein,31269,2965,1,12,34,32,16,5,1
10/16/2022,484,spade,30459,2854,1,8,29,36,19,6,1
10/15/2022,483,catch,30403,3123,0,7,18,20,15,16,23
10/14/2022,482,floor,28906,2752,0,3,23,44,24,6,0
10/13/2022,481,equal,27197,2677,0,5,23,35,25,11,2
10/12/2022,480,ionic,29151,2947,0,2,13,25,28,21,11
10/11/2022,479,valid,28575,2752,0,4,28,38,21,8,1
10/10/2022,478,enjoy,26878,2654,0,3,12,29,33,20,3
10/9/2022,477,howdy,28408,2668,0,2,13,32,32,17,4
10/8/2022,476,vigor,26905,2642,0,2,15,35,31,14,2
10/7/2022,475,dandy,29026,2840,0,2,11,23,29,24,11
10/6/2022,474,sloth,32522,2987,1,10,38,34,13,3,0
10/5/2022,473,marxh,30935,2885,0,9,30,35,19,6,1
10/4/2022,472,bough,32014,3060,0,3,17,35,28,13,3
10/3/2022,471,sting,32288,2969,1,10,30,33,18,8,2
10/2/2022,470,twine,30088,2775,0,6,28,40,20,5,1
10/1/2022,469,leave,28202,2696,0,4,16,34,31,12,1
9/30/2022,468,scorn,31223,2859,0,8,31,35,20,6,1
9/29/2022,467,scald,30477,2829,0,4,23,36,24,11,2
9/28/2022,466,usurp,31355,3007,0,3,21,38,26,9,1
9/27/2022,465,soggy,30985,2888,0,2,18,38,28,11,2
9/26/2022,464,brisk,31706,2884,0,5,23,38,24,7,1
9/25/2022,463,admit,28994,2677,0,10,25,34,22,8,1
9/24/2022,462,grate,32777,3077,1,14,29,28,16,8,3
9/23/2022,461,glory,31509,2893,0,6,30,39,19,5,0
9/22/2022,460,saint,34455,3119,1,14,35,29,15,5,1
9/21/2022,459,recap,31976,2900,0,5,30,35,21,8,1
9/20/2022,458,alike,31277,2843,0,6,20,33,27,12,2
9/19/2022,457,trice,35050,3430,0,5,24,25,18,17,11
9/18/2022,456,stick,33102,3038,1,9,36,35,14,4,0
9/17/2022,455,chute,33418,3073,0,11,37,36,12,3,0
9/16/2022,454,parer,37309,4130,0,0,4,11,15,22,48
9/15/2022,453,doubt,33344,3011,1,12,32,34,16,4,0
9/14/2022,452,thyme,32142,2938,1,5,24,41,23,5,0
9/13/2022,451,alpha,29497,2706,0,3,19,40,28,9,1
9/12/2022,450,booze,29147,2883,0,1,7,27,38,23,4
9/11/2022,449,tibia,27887,2675,0,1,14,40,30,12,2
9/10/2022,448,lofty,29237,2777,0,4,19,34,27,13,3
9/9/2022,447,theme,32172,2909,0,8,29,40,18,4,0
9/8/2022,446,class,31962,3001,0,4,21,32,22,13,7
9/7/2022,445,leery,30992,2873,0,3,17,37,28,12,2
9/6/2022,444,taunt,32734,3022,0,4,19,27,21,16,13
9/5/2022,443,whoop,32733,2970,0,1,16,47,29,7,1
9/4/2022,442,inter,32018,2889,0,6,25,36,23,8,1
9/3/2022,441,gully,31191,2877,0,1,9,27,31,25,7
9/2/2022,440,charm,35724,3149,1,12,32,34,16,5,1
9/1/2022,439,fungi,31903,2928,0,2,18,41,28,9,1
8/31/2022,438,prize,35343,3166,0,5,12,20,32,26,5
8/30/2022,437,onset,33660,3009,0,4,29,40,21,6,1
8/29/2022,436,chief,34281,3072,1,6,32,38,18,5,0
8/28/2022,435,gauze,30214,2866,0,2,11,24,31,25,8
8/27/2022,434,ruder,31241,2784,0,2,16,33,29,16,4
8/26/2022,433,irony,34716,3046,0,6,29,34,21,8,1
8/25/2022,432,clown,36737,3175,1,8,29,36,20,6,1
8/24/2022,431,needy,33700,2927,0,2,21,41,26,9,1
8/23/2022,430,woven,33549,2933,0,2,13,32,32,17,3
8/22/2022,429,merit,35888,3123,0,7,33,37,17,5,0
8/21/2022,428,waste,35617,3186,1,7,19,27,24,17,5
8/20/2022,427,treat,38245,3249,1,22,32,26,14,5,1
8/19/2022,426,shrug,33965,2987,0,4,23,36,26,10,1
8/18/2022,425,twang,34938,3172,0,3,22,43,25,7,1
8/17/2022,424,twice,35815,3173,1,6,28,38,21,6,1
8/16/2022,423,gruel,35105,3087,0,3,19,39,29,9,1
8/15/2022,422,poker,35376,3180,0,4,17,30,27,17,5
8/14/2022,421,khaki,31652,2968,0,2,17,33,28,16,4
8/13/2022,420,hunky,35276,3185,0,1,11,33,25,22,7
8/12/2022,419,label,34198,3076,0,4,18,32,29,15,2
8/11/2022,418,glean,37301,3243,0,6,23,37,24,8,1
8/10/2022,417,cling,37654,3312,0,4,20,34,27,13,2
8/9/2022,416,patty,36223,3019,0,2,16,39,29,12,1
8/8/2022,415,unfit,35516,3187,0,3,24,38,25,9,1
8/7/2022,414,smear,36223,3190,0,2,16,39,29,12,2
8/6/2022,413,alien,38841,3395,3,17,31,29,15,4,0
8/5/2022,412,buggy,37350,3428,0,1,9,29,34,22,5
8/4/2022,411,rhyme,37229,3336,0,4,22,39,25,8,1
8/3/2022,410,youth,38381,3327,1,5,17,31,29,15,3
8/2/2022,409,coyly,34909,3380,0,0,4,17,28,35,15
8/1/2022,408,quart,36662,3303,0,5,20,33,27,13,2
7/31/2022,407,cramp,39250,3369,1,8,26,33,19,10,2
7/30/2022,406,bluff,37353,3171,0,2,14,42,31,10,1
7/29/2022,405,upset,37791,3213,0,5,30,38,20,6,1
7/28/2022,404,stomp,40650,3490,0,7,26,32,21,11,2
7/27/2022,403,motto,38384,3285,0,1,11,36,36,14,1
7/26/2022,402,cinch,39171,3507,0,2,15,24,22,25,13
7/25/2022,401,elope,39228,3339,0,4,22,32,26,13,2
7/24/2022,400,power,39813,3401,2,6,19,29,24,15,4
7/23/2022,399,midge,36769,3111,0,2,18,39,28,10,2
7/22/2022,398,tryst,43099,3665,0,3,26,41,23,6,1
7/21/2022,397,aphid,39086,3367,0,6,24,36,23,9,2
7/20/2022,396,trite,42237,3685,0,4,14,22,22,23,15
7/19/2022,395,angry,39667,3358,0,5,27,38,21,7,1
7/18/2022,394,flock,42574,3548,0,4,22,37,27,9,1
7/17/2022,393,wacky,39611,3345,0,3,18,39,27,10,2
7/16/2022,392,roomy,38769,3280,0,2,17,41,28,10,2
7/15/2022,391,wedge,39234,3353,0,2,11,32,37,17,2
7/14/2022,390,liver,40549,3388,0,4,16,26,25,20,8
7/13/2022,389,bland,46246,3727,0,7,31,38,18,4,0
7/12/2022,388,night,46910,3870,1,8,27,27,17,13,7
7/11/2022,387,madam,40545,3430,0,3,13,35,34,14,2
7/10/2022,386,berth,41785,3494,0,7,24,35,24,9,1
7/9/2022,385,stead,47094,3933,1,6,20,27,28,16,3
7/8/2022,384,voice,42806,3484,1,5,24,35,25,9,1
7/7/2022,383,agape,43407,3671,0,2,18,36,27,15,3
7/6/2022,382,fluff,47344,4049,0,0,4,25,44,23,4
7/5/2022,381,field,44578,3604,1,6,25,36,23,9,1
7/4/2022,380,sever,42645,3591,0,2,13,27,29,21,7
7/3/2022,379,lilac,40486,3461,0,2,17,38,29,12,1
7/2/2022,378,egret,41765,3515,0,3,14,33,33,15,2
7/1/2022,377,pinto,47248,3792,0,5,25,41,22,6,1
6/30/2022,376,hutch,44212,3758,0,1,12,28,28,21,9
6/29/2022,375,gawky,45645,3957,0,1,5,22,33,28,10
6/28/2022,374,droll,47312,3844,0,2,16,31,31,17,3
6/27/2022,373,retro,47986,3848,0,6,24,35,24,9,1
6/26/2022,372,rusty,50450,3954,0,9,37,34,13,5,1
6/25/2022,371,beady,46089,3670,0,3,19,39,29,10,1
6/24/2022,370,smite,50617,3991,0,6,23,35,24,11,2
6/23/2022,369,brink,53111,4118,0,4,22,41,24,7,1
6/22/2022,368,awful,47645,3861,0,5,21,33,27,12,2
6/21/2022,367,gloat,53342,4194,0,8,21,31,26,12,2
6/20/2022,366,input,50484,3950,0,5,30,38,21,6,1
6/19/2022,365,loser,55359,4399,1,10,28,32,19,8,2
6/18/2022,364,cacao,47205,4101,0,1,9,27,36,23,4
6/17/2022,363,blown,54665,4251,0,6,23,35,26,10,1
6/16/2022,362,apron,53430,4112,0,7,30,38,19,5,1
6/15/2022,361,primo,55989,4391,0,3,22,38,25,10,2
6/14/2022,360,atone,59968,4762,2,16,34,29,14,4,1
6/13/2022,359,donor,53802,4142,0,3,27,38,23,7,1
6/12/2022,358,float,56684,4323,1,12,30,32,18,6,1
6/11/2022,357,goose,51958,4087,0,2,12,28,32,21,5
6/10/2022,356,piety,55376,4324,0,4,25,41,22,7,1
6/9/2022,355,girth,60020,4665,0,6,23,33,23,12,3
6/8/2022,354,trait,61026,4607,0,6,22,35,24,11,2
6/7/2022,353,flood,58991,4440,0,3,20,40,28,8,1
6/6/2022,352,gloom,58478,4548,0,2,14,35,35,13,1
6/5/2022,351,depth,56738,4329,0,6,28,39,20,6,1
6/4/2022,350,froth,58263,4432,0,5,22,35,25,11,1
6/3/2022,349,peach,65431,4957,1,13,38,32,13,3,0
6/2/2022,348,showy,61278,4770,0,2,16,37,30,13,2
6/1/2022,347,creak,63241,4797,0,5,21,32,25,14,3
5/31/2022,346,manor,62768,4802,0,6,27,34,21,10,2
5/30/2022,345,atoll,60969,4741,0,6,28,36,21,8,1
5/29/2022,344,bayou,56839,4435,0,6,17,33,29,13,2
5/28/2022,343,crept,60069,4562,0,4,27,38,22,7,1
5/27/2022,342,tiara,63846,4842,0,8,36,33,17,6,1
5/26/2022,341,asset,63188,4733,0,7,28,34,21,8,1
5/25/2022,340,vouch,62723,4835,0,2,9,25,33,24,6
5/24/2022,339,album,63380,4809,0,5,26,35,24,9,1
5/23/2022,338,hinge,66431,4906,0,5,25,37,22,9,2
5/22/2022,337,money,67909,4928,1,7,26,36,21,8,1
5/21/2022,336,scrap,66814,4973,1,9,28,34,20,8,1
5/20/2022,335,gamer,69884,5238,1,4,17,28,26,18,6
5/19/2022,334,glass,70920,5162,0,4,19,33,27,14,3
5/18/2022,333,scour,73933,5544,0,8,34,35,17,5,1
5/17/2022,332,being,70722,5142,0,4,22,37,26,10,1
5/16/2022,331,delve,68349,5179,0,2,14,32,33,16,2
5/15/2022,330,yield,67115,4963,0,4,16,29,29,18,4
5/14/2022,329,metal,73225,5290,1,10,31,34,18,7,1
5/13/2022,328,tipsy,77585,5522,0,6,33,38,17,5,1
5/12/2022,327,slung,75673,5419,0,2,16,37,31,13,2
5/11/2022,326,farce,79446,5688,0,9,26,32,21,9,1
5/10/2022,325,gecko,74412,5489,0,2,16,38,29,12,2
5/9/2022,324,shine,88932,6146,1,14,32,30,17,6,1
5/8/2022,323,canny,72518,5256,0,2,10,30,34,20,4
5/7/2022,322,midst,74458,5233,0,3,25,39,24,9,1
5/6/2022,321,badge,76292,5482,0,4,20,35,26,12,2
5/5/2022,320,homer,85979,6313,0,3,16,26,24,19,12
5/4/2022,319,train,107750,7243,6,26,32,22,10,3,0
5/3/2022,318,hairy,85817,5941,1,8,24,33,23,10,1
5/2/2022,317,story,95643,6530,1,10,23,29,24,11,2
5/1/2022,316,forgo,77658,5699,0,1,9,26,37,23,3
4/30/2022,315,larva,77991,5749,0,2,10,25,35,23,4
4/29/2022,314,stash,106652,7001,2,19,34,27,13,4,1
4/28/2022,313,zesty,88974,6315,0,2,12,27,30,22,7
4/27/2022,312,shown,98967,6564,0,6,26,36,22,8,1
4/26/2022,311,heist,103153,6830,1,13,32,31,16,6,1
4/25/2022,310,askew,91548,6549,0,3,13,29,32,19,4
4/24/2022,309,inert,97452,6743,0,7,27,34,22,9,1
4/23/2022,308,olive,95562,6482,1,6,25,34,23,10,1
4/22/2022,307,plant,119232,7731,2,19,39,28,10,3,0
4/21/2022,306,oxide,97955,6960,0,2,11,30,33,21,4
4/20/2022,305,cargo,102007,6796,0,5,20,34,27,12,2
4/19/2022,304,foyer,108899,8198,0,2,10,19,19,23,26
4/18/2022,303,flair,112383,7341,1,8,30,36,18,6,1
4/17/2022,302,ample,106681,7008,0,4,20,35,27,11,2
4/16/2022,301,cheek,107987,7035,0,3,19,40,28,9,1
4/15/2022,300,shame,129991,8522,1,11,22,25,21,15,5
4/14/2022,299,mince,113448,7356,0,6,24,35,24,10,1
4/13/2022,298,chunk,123255,7835,1,4,29,42,18,5,1
4/12/2022,297,royal,114907,7275,1,5,24,36,23,9,1
4/11/2022,296,squad,109828,7236,0,3,20,33,27,14,2
4/10/2022,295,black,126241,7894,1,10,31,34,18,6,1
4/9/2022,294,stair,134210,8537,2,21,36,26,11,4,1
4/8/2022,293,scare,141158,9010,1,12,23,26,21,13,4
4/7/2022,292,foray,117761,7575,0,2,14,31,31,19,4
4/6/2022,291,comma,117856,7560,0,2,13,33,33,17,3
4/5/2022,290,natal,121356,7702,0,2,14,32,32,17,3
4/4/2022,289,shawl,129651,7943,0,3,16,31,30,16,3
4/3/2022,288,fewer,124532,7931,0,2,10,24,32,26,6
4/2/2022,287,trope,155079,9315,1,16,33,28,15,6,1
4/1/2022,286,snout,144648,8913,1,4,19,27,26,18,5
3/31/2022,285,lowly,135219,8469,0,2,9,26,32,24,8
3/30/2022,284,stove,158139,9318,0,5,16,24,27,21,6
3/29/2022,283,shall,149070,8494,0,3,17,30,28,17,4
3/28/2022,282,found,173696,10613,1,6,17,22,20,21,14
3/27/2022,281,nymph,165468,9935,1,2,18,44,26,26,9
3/26/2022,280,epoxy,149507,9376,0,2,13,31,33,18,3
3/25/2022,279,depot,150197,8562,0,5,29,36,20,7,1
3/24/2022,278,chest,169066,9318,1,14,35,31,14,5,1
3/23/2022,277,purge,156785,8555,1,4,22,35,26,11,2
3/22/2022,276,slosh,160161,8807,0,2,19,36,27,13,2
3/21/2022,275,their,173636,9200,2,14,36,30,13,4,0
3/20/2022,274,renew,154987,8417,0,4,20,33,27,13,2
3/19/2022,273,allow,156311,8515,0,5,21,32,26,14,3
3/18/2022,272,saute,179830,9304,1,8,31,34,19,6,1
3/17/2022,271,movie,169071,8847,1,5,18,30,26,16,3
3/16/2022,270,cater,217856,11234,1,7,19,22,19,18,15
3/15/2022,269,tease,202855,10024,1,16,32,30,16,6,1
3/14/2022,268,smelt,185406,9373,0,5,19,33,28,13,2
3/13/2022,267,focus,179436,8937,1,4,23,36,24,10,1
3/12/2022,266,today,192049,9353,1,7,29,35,20,7,1
3/11/2022,265,watch,226349,12400,1,6,14,18,17,24,20
3/10/2022,264,lapse,208884,9960,0,8,31,34,19,7,1
3/9/2022,263,month,201799,9435,1,5,26,37,22,8,1
3/8/2022,262,sweet,207473,9767,1,5,18,31,28,15,2
3/7/2022,261,hoard,218595,9823,1,9,30,34,19,7,1
3/6/2022,260,cloth,218595,9911,1,8,33,34,17,7,1
3/5/2022,259,brine,229895,10405,1,9,25,29,22,12,3
3/4/2022,258,ahead,203730,9396,1,5,20,35,26,12,2
3/3/2022,257,mourn,240018,10465,1,8,29,34,19,8,1
3/2/2022,256,nasty,257304,10813,1,7,26,31,21,11,2
3/1/2022,255,rupee,240137,10577,1,2,17,35,30,13,2
2/28/2022,254,choke,251094,10521,1,8,30,36,18,6,1
2/27/2022,253,chant,250413,10438,1,9,33,33,16,7,1
2/26/2022,252,spill,248363,10087,1,5,26,34,22,10,2
2/25/2022,251,vivid,255907,11687,1,2,10,29,33,21,4
2/24/2022,250,bloke,250674,10405,1,6,21,32,25,12,2
2/23/2022,249,trove,277576,11411,1,5,16,24,25,22,8
2/22/2022,248,thorn,306356,11814,1,14,38,30,12,4,0
2/21/2022,247,other,278731,10887,1,9,26,30,21,10,2
2/20/2022,246,tacit,273306,11094,1,4,21,32,26,14,3
2/19/2022,245,swill,282327,11241,1,1,8,19,31,30,10
2/18/2022,244,dodge,265238,10220,1,3,15,29,27,19,7
2/17/2022,243,shake,342003,12767,1,6,16,23,24,21,9
2/16/2022,242,caulk,289721,10740,1,4,20,31,26,15,3
2/15/2022,241,aroma,287836,10343,1,6,25,33,22,11,2
2/14/2022,240,cynic,261521,10343,1,6,25,33,22,11,2
2/13/2022,239,robin,277471,3249,1,6,29,34,21,8,1
2/12/2022,238,ultra,269885,9310,1,7,23,34,24,10,1
2/11/2022,237,ulcer,278826,10631,1,4,18,30,28,16,3
2/10/2022,236,pause,304830,13480,1,8,26,32,21,10,2
2/9/2022,235,humor,305372,13846,1,5,22,34,25,11,2
2/8/2022,234,frame,336236,15369,1,10,20,24,24,17,3
2/7/2022,233,elder,288228,13340,1,3,13,24,30,24,5
2/6/2022,232,skill,311018,13716,1,3,17,33,27,16,3
2/5/2022,231,aloft,319698,13708,1,4,22,36,25,11,2
2/4/2022,230,pleat,359679,14813,1,10,28,31,19,9,2
2/3/2022,229,shard,358176,14609,1,7,22,28,25,14,4
2/2/2022,228,moist,361908,14205,3,13,32,29,16,7,1
2/1/2022,227,those,351663,13606,1,13,34,30,15,6,1
1/31/2022,226,light,341314,13347,1,10,25,27,19,12,5
1/30/2022,225,wrung,294687,11524,0,2,18,39,27,12,2
1/29/2022,224,could,313220,11592,1,7,29,35,20,8,1
1/28/2022,223,perky,296968,11148,1,4,17,30,27,17,4
1/27/2022,222,mount,331844,11451,1,9,29,33,19,7,1
1/26/2022,221,whack,302348,10163,1,4,22,37,24,10,2
1/25/2022,220,sugar,276404,8708,1,6,25,34,23,9,1
1/24/2022,219,knoll,258038,8317,1,1,11,29,33,21,4
1/23/2022,218,crimp,269929,7630,1,5,28,38,20,7,1
1/22/2022,217,wince,241489,6850,1,3,17,33,29,15,3
1/21/2022,216,prick,273727,7409,1,8,30,33,19,7,1
1/20/2022,215,robot,243964,6589,1,8,29,34,20,8,1
1/19/2022,214,point,280622,7094,1,16,37,28,12,4,1
1/18/2022,213,proxy,220950,6206,1,2,11,24,31,26,6
1/17/2022,212,shire,222197,5640,1,8,32,32,18,8,2
1/16/2022,211,solar,209609,4955,1,9,32,32,18,7,1
1/15/2022,210,panic,205880,4655,1,9,35,34,16,5,1
1/14/2022,209,tangy,169484,3985,1,4,21,30,24,15,5
1/13/2022,208,abbey,132726,3345,1,2,13,29,31,20,3
1/12/2022,207,favor,137586,3073,1,4,15,26,29,21,4
1/11/2022,206,drink,153880,3017,1,9,35,34,16,5,1
1/10/2022,205,query,107134,2242,1,4,16,30,30,17,2
1/9/2022,204,gorge,91477,1913,1,3,13,27,30,22,4
1/8/2022,203,crank,101503,1763,1,5,23,31,24,14,2
1/7/2022,202,slump,80630,1362,1,3,23,39,24,9,1
