Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),under_2,under_3,under_4,under_5,under_6,Overall,D,Hard_rate,pos_0,pos_1,pos_2,pos_3,pos_4,Mul,VN,VP,FS,FF,FB,FE
1/20/2022,215,robot,243964,6589,1,8,29,34,20,8,1,9,38,72,92,100,101,3.95,0.0270080831598104,r,o,b,o,t,4,2,10,0.5680587070909902,0.04535637149028078,0.011339092872570195,0.00018284497386482584
1/21/2022,216,prick,241489,7409,1,8,30,33,19,7,1,9,39,72,91,98,99,3.83,0.0270671143146273,p,r,i,c,k,1,1,4,0.43022366179177096,0.061339092872570194,0.015334773218142549,1.2877091720696541e-05
1/22/2022,217,wince,241489,6850,1,3,17,33,29,15,3,4,21,54,83,98,101,4.46,0.0283656812525622,w,i,n,c,e,1,2,9,0.521619386035117,0.035853131749460046,0.008963282937365011,1.0359596935822651e-05
1/23/2022,218,crimp,258038,7630,1,5,28,38,20,7,1,6,34,72,92,99,100,3.96,0.0282666923524334,c,r,i,m,p,1,1,4,0.44623128695261294,0.08552915766738661,0.021382289416846653,9.256818702319577e-06
1/24/2022,219,knoll,276404,8317,1,1,11,29,33,21,4,2,13,42,75,96,100,4.71,0.0322316868058192,k,n,o,l,l,4,1,4,0.4947825408461083,0.008639308855291577,0.0021598272138228943,1.3954371105967093e-05
1/25/2022,220,sugar,302348,8708,1,6,25,34,23,9,1,7,32,66,89,98,99,4.000000000000001,0.0315046091952359,s,u,g,a,r,1,2,10,0.6183633345365025,0.15809935205183584,0.03952483801295896,0.0003243386027968999
1/26/2022,221,whack,331844,10163,1,4,22,37,24,10,2,5,27,64,88,98,100,4.17,0.0336135843465146,w,h,a,c,k,1,1,4,0.3834057497976872,0.035853131749460046,0.008963282937365011,1.0486903366771639e-05
1/27/2022,222,mount,296968,11451,1,9,29,33,19,7,1,10,39,72,91,98,99,3.82,0.034507178071624,m,o,u,n,t,1,2,12,0.47685873530230183,0.04622030237580994,0.011555075593952484,0.000529455195312137
1/28/2022,223,perky,313220,11148,1,4,17,30,27,17,4,5,22,52,79,96,100,4.45,0.0375393981843161,p,e,r,k,y,1,1,8,0.5200568684917142,0.061339092872570194,0.015334773218142549,1.9647967754028813e-05
1/29/2022,224,could,294687,11592,1,7,29,35,20,8,1,8,37,72,92,100,101,3.97,0.0370091309622629,c,o,u,l,d,1,2,12,0.4677997669729445,0.08552915766738661,0.021382289416846653,0.0043674749563880145
1/30/2022,225,wrung,341314,11524,0,2,18,39,27,12,2,2,20,59,86,98,100,4.35,0.0391058988011008,w,r,u,n,g,1,1,4,0.39639028160847445,0.035853131749460046,0.008963282937365011,1.7503767439115307e-06
1/31/2022,226,light,351663,13606,1,10,25,27,19,12,5,11,36,63,82,94,99,4.06,0.0391047539802059,l,i,g,h,t,1,1,8,0.4501668703136948,0.03801295896328294,0.009503239740820735,0.001830421919254444
2/1/2022,227,those,361908,14205,1,13,34,30,15,6,1,14,48,78,93,99,100,3.67,0.0386904508009088,t,h,o,s,e,1,2,5,0.6834839429604569,0.06436285097192225,0.016090712742980563,0.0039008779614692177
2/2/2022,228,moist,358176,14609,3,13,32,29,16,7,1,16,48,77,93,100,101,3.7,0.039250306707782,m,o,i,s,t,1,2,12,0.5901144321328461,0.04622030237580994,0.011555075593952484,3.092390516899722e-05
2/3/2022,229,shard,359679,14813,1,7,22,28,25,14,4,8,30,58,83,97,101,4.300000000000001,0.0407872107567229,s,h,a,r,d,1,1,4,0.6197223253011486,0.15809935205183584,0.03952483801295896,4.152454929051936e-06
2/4/2022,230,pleat,319698,13708,1,10,28,31,19,9,2,11,39,70,89,98,100,3.92,0.0411839445727996,p,l,e,a,t,1,2,6,0.6727618691696369,0.061339092872570194,0.015334773218142549,3.854876869055653e-06
2/5/2022,231,aloft,311018,13716,1,4,22,36,25,11,2,5,27,63,88,99,101,4.239999999999999,0.0428779660804884,a,l,o,f,t,1,2,20,0.572401003528238,0.06090712742980561,0.015226781857451403,7.1850697890412476e-06
2/6/2022,232,skill,288228,13340,1,3,17,33,27,16,3,4,21,54,81,97,100,4.42,0.0441003414593367,s,k,i,l,l,4,1,4,0.5524655287969193,0.15809935205183584,0.03952483801295896,0.00022876838508465428
2/7/2022,233,elder,336236,15369,1,3,13,24,30,24,5,4,17,41,71,95,100,4.709999999999999,0.0462828038913637,e,l,d,e,r,4,2,18,0.7401458435638182,0.031101511879049675,0.007775377969762419,0.00010545500153418154
2/8/2022,234,frame,305372,13846,1,10,20,24,24,17,3,11,31,55,79,96,99,4.2,0.0457089663212743,f,r,a,m,e,1,2,5,0.6207907963027779,0.05874730021598272,0.01468682505399568,0.000665714842529673
2/9/2022,235,humor,304830,13480,1,5,22,34,25,11,2,6,28,62,87,98,100,4.18,0.045341419645547,h,u,m,o,r,1,2,10,0.4696023725064554,0.029805615550755938,0.0074514038876889845,0.00026128005224645523
2/10/2022,236,pause,278826,10631,1,8,26,32,21,10,2,9,35,67,88,98,100,4.0200000000000005,0.0442213692877997,p,a,u,s,e,1,3,13,0.6987677209901278,0.061339092872570194,0.015334773218142549,6.654719750295954e-05
2/11/2022,237,ulcer,269885,10631,1,4,18,30,28,16,3,5,23,53,81,97,100,4.4,0.038127721231162,u,l,c,e,r,1,2,18,0.608147029573845,0.014254859611231102,0.0035637149028077755,1.9309851581771653e-05
2/12/2022,238,ultra,261521,9310,1,7,23,34,24,10,1,8,31,65,89,99,100,4.07,0.0344961742964596,u,l,t,r,a,1,2,17,0.6191781469343202,0.014254859611231102,0.0035637149028077755,0.00031487213010843277
2/14/2022,240,cynic,287836,10343,1,6,25,33,22,11,2,7,32,65,87,98,100,4.1,0.039549405210289,c,y,n,i,c,4,1,2,0.4185056070995225,0.08552915766738661,0.021382289416846653,7.59773216916232e-06
2/15/2022,241,aroma,289721,10343,1,6,25,33,22,11,2,7,32,65,87,98,100,4.1,0.0359336566656012,a,r,o,m,a,4,3,21,0.6888011753091844,0.06090712742980561,0.015226781857451403,2.9165149200170755e-05
2/16/2022,242,caulk,342003,10740,1,4,20,31,26,15,3,5,25,56,82,97,100,4.34,0.0370701467964006,c,a,u,l,k,1,2,12,0.4819753349637256,0.08552915766738661,0.021382289416846653,3.553138090480918e-06
2/17/2022,243,shake,265238,12767,1,6,16,23,24,21,9,7,23,46,70,91,100,4.62,0.0373300818998663,s,h,a,k,e,1,2,5,0.6591353273515355,0.15809935205183584,0.03952483801295896,9.880722787240128e-05
2/18/2022,244,dodge,282327,10220,1,3,15,29,27,19,7,4,19,48,75,94,101,4.66,0.0385314321477314,d,o,d,g,e,4,2,9,0.5397965178080866,0.04794816414686825,0.011987041036717062,0.00021335975615388158
2/19/2022,245,swill,273306,11241,1,1,8,19,31,30,10,2,10,29,60,90,100,5.08,0.0398155330520991,s,w,i,l,l,4,1,4,0.5427057120407377,0.15809935205183584,0.03952483801295896,1.3295807368471678e-06
2/20/2022,246,tacit,278731,11094,1,4,21,32,26,14,3,5,26,58,84,98,101,4.35,0.0405918640644552,t,a,c,i,t,4,2,10,0.5871331288148351,0.06436285097192225,0.016090712742980563,8.585166037629451e-06
2/21/2022,247,other,306356,10887,1,9,26,30,21,10,2,10,36,66,87,97,99,3.96,0.0390591645708586,o,t,h,e,r,1,2,18,0.6519890535246811,0.017710583153347732,0.004427645788336933,0.014136060425799816
2/22/2022,248,thorn,277576,11814,1,14,38,30,12,4,0,15,53,83,95,99,99,3.47,0.0385629790178746,t,h,o,r,n,1,1,4,0.5378654940597152,0.06436285097192225,0.016090712742980563,2.0538823831881558e-05
2/23/2022,249,trove,250674,11411,1,5,16,24,25,22,8,6,22,46,71,93,101,4.68,0.0411094619131337,t,r,o,v,e,1,2,5,0.6160236683176634,0.06436285097192225,0.016090712742980563,1.0146851304620336e-05
2/24/2022,250,bloke,250674,10405,1,6,21,32,25,12,2,7,28,60,85,97,99,4.15,0.0415080941780958,b,l,o,k,e,1,2,5,0.5465562155984638,0.07473002159827213,0.018682505399568033,1.1077378678363449e-05
2/25/2022,251,vivid,248363,11687,1,2,10,29,33,21,4,3,13,42,75,96,100,4.7,0.0456689344175813,v,i,v,i,d,16,2,10,0.3511992705592467,0.018574514038876888,0.004643628509719222,6.471526778552247e-05
2/26/2022,252,spill,248363,10087,1,5,26,34,22,10,2,6,32,66,88,98,100,4.09,0.0406139400796414,s,p,i,l,l,4,1,4,0.5727290654131548,0.15809935205183584,0.03952483801295896,5.620792741102536e-05
2/27/2022,253,chant,250413,10438,1,9,33,33,16,7,1,10,43,76,92,99,100,3.79,0.0416831394536226,c,h,a,n,t,1,1,4,0.5136958257189477,0.08552915766738661,0.021382289416846653,1.9856278174802015e-05
2/28/2022,254,choke,240137,10521,1,8,30,36,18,6,1,9,39,75,93,99,100,3.84,0.0419006427871633,c,h,o,k,e,1,2,5,0.5147862415540866,0.08552915766738661,0.021382289416846653,2.0921277661490336e-05
3/1/2022,255,rupee,240137,10577,1,2,17,35,30,13,2,3,20,55,85,98,100,4.38,0.0440456905849577,r,u,p,e,e,4,3,11,0.6970612852238594,0.04535637149028078,0.011339092872570195,4.0907029308167614e-05
3/2/2022,256,nasty,240018,10813,1,7,26,31,21,11,2,8,34,65,86,97,99,4.02,0.0420242203774523,n,a,s,t,y,1,1,8,0.6220300268068261,0.015982721382289417,0.003995680345572354,0.00010741078486402507
3/3/2022,257,mourn,240018,10465,1,8,29,34,19,8,1,9,38,72,91,99,100,3.9,0.0436008965994217,m,o,u,r,n,1,2,12,0.5045510966235397,0.04622030237580994,0.011555075593952484,1.1254310346524168e-05
3/4/2022,258,ahead,203730,9396,1,5,20,35,26,12,2,6,26,61,87,99,101,4.27,0.0461198645265793,a,h,e,a,d,4,3,22,0.6975983783359825,0.06090712742980561,0.015226781857451403,0.00040993651712766693
3/5/2022,259,brine,229895,10405,1,9,25,29,22,12,3,10,35,64,86,98,101,4.13,0.0452597925139737,b,r,i,n,e,1,2,5,0.6069821618174083,0.07473002159827213,0.018682505399568033,1.1788745979762469e-05
3/6/2022,260,cloth,218595,9911,1,8,33,34,17,7,1,9,42,76,93,100,101,3.86,0.0453395548846039,c,l,o,t,h,1,1,4,0.4869550935502902,0.08552915766738661,0.021382289416846653,0.0001410618965918017
3/7/2022,261,hoard,218595,9823,1,9,30,34,19,7,1,10,40,74,93,100,101,3.89,0.0449369839200347,h,o,a,r,d,1,2,12,0.5836764162554713,0.029805615550755938,0.0074514038876889845,6.2609424095004055e-06
3/8/2022,262,sweet,207473,9767,1,5,18,31,28,15,2,6,24,55,83,98,100,4.329999999999999,0.0470760050705393,s,w,e,e,t,4,2,6,0.7309641884556151,0.15809935205183584,0.03952483801295896,0.00046680839698462435
3/9/2022,263,month,201799,9435,1,5,26,37,22,8,1,6,32,69,91,99,100,4.0200000000000005,0.0467544437782149,m,o,n,t,h,1,1,8,0.45748987827994503,0.04622030237580994,0.011555075593952484,0.0017773775393161737
3/10/2022,264,lapse,208884,9960,0,8,31,34,19,7,1,8,39,73,92,99,100,3.89,0.0476819670247601,l,a,p,s,e,1,2,9,0.7319491199266506,0.03801295896328294,0.009503239740820735,2.1085914984129315e-05
3/11/2022,265,watch,226349,12400,1,6,14,18,17,24,20,7,21,39,56,80,100,4.96,0.0547826586377673,w,a,t,c,h,1,1,8,0.4520966294170615,0.035853131749460046,0.008963282937365011,0.0013292191299512698
3/12/2022,266,today,192049,9353,1,7,29,35,20,7,1,8,37,72,92,99,100,3.91,0.0487011127368536,t,o,d,a,y,1,2,10,0.5643114342351158,0.06436285097192225,0.016090712742980563,0.003456736610316292
3/13/2022,267,focus,179436,8937,1,4,23,36,24,10,1,5,28,64,88,98,99,4.09,0.0498060589848191,f,o,c,u,s,1,2,10,0.49010367859695747,0.05874730021598272,0.01468682505399568,0.00094810542734518
3/14/2022,268,smelt,185406,9373,0,5,19,33,28,13,2,5,24,57,85,98,100,4.31,0.0505539195063805,s,m,e,l,t,1,1,4,0.6602096027494679,0.15809935205183584,0.03952483801295896,4.3492944798553805e-06
3/15/2022,269,tease,202855,10024,1,16,32,30,16,6,1,17,49,79,95,101,102,3.72,0.0494146064923221,t,e,a,s,e,4,3,13,0.87689849055296,0.06436285097192225,0.016090712742980563,2.9172343776045992e-05
3/16/2022,270,cater,217856,11234,1,7,19,22,19,18,15,8,27,49,68,86,101,4.680000000000001,0.0515661721504112,c,a,t,e,r,1,2,10,0.7073119706959055,0.08552915766738661,0.021382289416846653,3.023495951771541e-05
3/17/2022,271,movie,169071,8847,1,5,18,30,26,16,3,6,24,54,80,96,99,4.32,0.0523271288393633,m,o,v,i,e,1,3,11,0.5404336313693572,0.04622030237580994,0.011555075593952484,0.0022887000485715715
3/18/2022,272,saute,179830,9304,1,8,31,34,19,6,1,9,40,74,93,99,100,3.84,0.0517377523216371,s,a,u,t,e,1,3,13,0.7471950639932665,0.15809935205183584,0.03952483801295896,7.894631223001703e-06
3/19/2022,273,allow,156311,8515,0,5,21,32,26,14,3,5,26,58,84,98,101,4.359999999999999,0.0544747330642117,a,l,l,o,w,4,2,18,0.5693578298853854,0.06090712742980561,0.015226781857451403,0.000968704379339296
3/20/2022,274,renew,154987,8417,0,4,20,33,27,13,2,4,24,57,84,97,99,4.27,0.0543077806525708,r,e,n,e,w,4,2,10,0.6826177989461697,0.04535637149028078,0.011339092872570195,9.478754031743255e-05
3/21/2022,275,their,173636,9200,2,14,36,30,13,4,0,16,52,82,95,99,99,3.47,0.0529844041558202,t,h,e,i,r,1,2,6,0.6336332906448088,0.06436285097192225,0.016090712742980563,0.011309778084989475
3/22/2022,276,slosh,160161,8807,0,2,19,36,27,13,2,2,21,57,84,97,99,4.319999999999999,0.0549884179044836,s,l,o,s,h,4,1,4,0.6461491660943,0.15809935205183584,0.03952483801295896,7.459532745823915e-07
3/23/2022,277,purge,156785,8555,1,4,22,35,26,11,2,5,27,62,88,99,101,4.25,0.0545651688618171,p,u,r,g,e,1,2,9,0.5405371944458575,0.061339092872570194,0.015334773218142549,1.9736469705457945e-05
3/24/2022,278,chest,169066,9318,1,14,35,31,14,5,1,15,50,81,95,100,101,3.65,0.0551145706410514,c,h,e,s,t,1,1,4,0.6195230302191382,0.08552915766738661,0.021382289416846653,0.00019527081542997408
3/25/2022,279,depot,150197,8562,0,5,29,36,20,7,1,5,34,70,90,97,98,3.9,0.0570051332583207,d,e,p,o,t,1,2,10,0.5891453897913559,0.04794816414686825,0.011987041036717062,0.00013996683302399619
3/26/2022,280,epoxy,149507,9376,0,2,13,31,33,18,3,2,15,46,79,97,100,4.61,0.0627127826790718,e,p,o,x,y,1,2,20,0.48096708862709203,0.031101511879049675,0.007775377969762419,2.7565858549639217e-05
3/28/2022,282,found,173696,10613,1,6,17,22,20,21,14,7,24,46,66,87,101,4.760000000000001,0.0611010040530582,f,o,u,n,d,1,2,12,0.41636031519655403,0.05874730021598272,0.01468682505399568,0.0033517751162357215
3/29/2022,283,shall,149070,8494,0,3,17,30,28,17,4,3,20,50,78,95,99,4.47,0.0569799423089823,s,h,a,l,l,4,1,4,0.6320542111158648,0.15809935205183584,0.03952483801295896,0.002773290374368608
3/30/2022,284,stove,158139,9318,0,5,16,24,27,21,6,5,21,45,72,93,99,4.57,0.0589228463566862,s,t,o,v,e,1,2,5,0.6475185577534393,0.15809935205183584,0.03952483801295896,5.655758668794982e-05
3/31/2022,285,lowly,135219,8469,0,2,9,26,32,24,8,2,11,37,69,93,101,4.950000000000001,0.0626317307478978,l,o,w,l,y,4,1,8,0.45840137927372493,0.03801295896328294,0.009503239740820735,7.85170936572192e-06
4/1/2022,286,snout,144648,8913,1,4,19,27,26,18,5,5,24,51,77,95,100,4.47,0.0616185498589679,s,n,o,u,t,1,2,6,0.5887292405178478,0.15809935205183584,0.03952483801295896,3.731846732201183e-06
4/2/2022,287,trope,155079,9315,1,16,33,28,15,6,1,17,50,78,93,99,100,3.62,0.0600661598282165,t,r,o,p,e,1,2,5,0.6553619347122963,0.06436285097192225,0.016090712742980563,1.5807696740816265e-06
4/3/2022,288,fewer,124532,7931,0,2,10,24,32,26,6,2,12,36,68,94,100,4.88,0.063686442038994,f,e,w,e,r,4,2,10,0.6248118080552617,0.05874730021598272,0.01468682505399568,0.00015592272647029073
4/4/2022,289,shawl,129651,7943,0,3,16,31,30,16,3,3,19,50,80,96,99,4.45,0.0612644715428342,s,h,a,w,l,1,1,4,0.5528534829721833,0.15809935205183584,0.03952483801295896,1.4616373215065535e-05
4/5/2022,290,natal,121356,7702,0,2,14,32,32,17,3,2,16,48,80,97,100,4.569999999999999,0.0634661656613599,n,a,t,a,l,4,2,10,0.6745492584295987,0.015982721382289417,0.003995680345572354,4.348569243492053e-05
4/6/2022,291,comma,117856,7560,0,2,13,33,33,17,3,2,15,48,81,98,101,4.63,0.0641460765680152,c,o,m,m,a,4,2,9,0.5001223827776428,0.08552915766738661,0.021382289416846653,3.9173194309993327e-05
4/7/2022,292,foray,117761,7575,0,2,14,31,31,19,4,2,16,47,78,97,101,4.67,0.06432520104279,f,o,r,a,y,1,2,10,0.5558704881914787,0.05874730021598272,0.01468682505399568,7.2206959418692326e-06
4/8/2022,293,scare,141158,9010,1,12,23,26,21,13,4,13,36,62,83,96,100,4.090000000000001,0.0638291843182816,s,c,a,r,e,1,2,5,0.7664992214529189,0.15809935205183584,0.03952483801295896,4.2946532652462954e-05
4/9/2022,294,stair,134210,8537,2,21,36,26,11,4,1,23,59,85,96,100,101,3.4200000000000004,0.063609269055957,s,t,a,i,r,1,2,6,0.7148323119230691,0.15809935205183584,0.03952483801295896,2.9074812487424043e-05
4/10/2022,295,black,126241,7894,1,10,31,34,18,6,1,11,42,76,94,100,101,3.83,0.0625311903422818,b,l,a,c,k,1,1,4,0.45280684918763786,0.07473002159827213,0.018682505399568033,0.0035350238676128704
4/11/2022,296,squad,109828,7236,0,3,20,33,27,14,2,3,23,56,83,97,99,4.31,0.0658848381105,s,q,u,a,d,1,2,6,0.5043251791428423,0.15809935205183584,0.03952483801295896,0.0001263351920997097
4/12/2022,297,royal,114907,7275,1,5,24,36,23,9,1,6,30,66,89,98,99,4.03,0.063312069760763,r,o,y,a,l,1,2,10,0.6312780109241819,0.04535637149028078,0.011339092872570195,0.0006559949127344685
4/13/2022,298,chunk,123255,7835,1,4,29,42,18,5,1,5,34,76,94,99,100,3.9099999999999993,0.0635674009167985,c,h,u,n,k,1,1,4,0.3450899732093873,0.08552915766738661,0.021382289416846653,3.4257030817703045e-05
4/14/2022,299,mince,113448,7356,0,6,24,35,24,10,1,6,30,65,89,99,100,4.11,0.0648402792468796,m,i,n,c,e,1,2,9,0.5473868279521404,0.04622030237580994,0.011555075593952484,4.739159589432024e-06
4/15/2022,300,shame,129991,8522,1,11,22,25,21,15,5,12,34,59,80,95,100,4.19,0.0655583848112561,s,h,a,m,e,1,2,5,0.6751429525123773,0.15809935205183584,0.03952483801295896,9.802676085933306e-05
4/16/2022,301,cheek,107987,7035,0,3,19,40,28,9,1,3,22,62,90,99,100,4.24,0.0651467306249826,c,h,e,e,k,4,2,6,0.5889169592340466,0.08552915766738661,0.021382289416846653,3.8732663783560345e-05
4/17/2022,302,ample,106681,7008,0,4,20,35,27,11,2,4,24,59,86,97,99,4.23,0.0656911727486619,a,m,p,l,e,1,2,17,0.6200786147111046,0.06090712742980561,0.015226781857451403,4.6054560536686684e-05
4/18/2022,303,flair,112383,7341,1,8,30,36,18,6,1,9,39,75,93,99,100,3.84,0.0653212674514828,f,l,a,i,r,1,2,6,0.5817376019696036,0.05874730021598272,0.01468682505399568,2.7798656532879345e-05
4/19/2022,304,foyer,108899,8198,0,2,10,19,19,23,26,2,12,31,50,73,99,5.25,0.0752807647453144,f,o,y,e,r,1,2,10,0.5856589418609859,0.05874730021598272,0.01468682505399568,1.506139673968567e-05
4/20/2022,305,cargo,102007,6796,0,5,20,34,27,12,2,5,25,59,86,98,100,4.27,0.0666228788220416,c,a,r,g,o,1,2,9,0.5739292216292398,0.08552915766738661,0.021382289416846653,0.00014083841688454455
4/21/2022,306,oxide,97955,6960,0,2,11,30,33,21,4,2,13,43,76,97,101,4.76,0.0710530345566841,o,x,i,d,e,1,3,21,0.5391286717518637,0.017710583153347732,0.004427645788336933,7.687707708421319e-05
4/22/2022,307,plant,119232,7731,2,19,39,28,10,3,0,21,60,88,98,101,101,3.37,0.0648399758454106,p,l,a,n,t,1,1,4,0.558638309704671,0.061339092872570194,0.015334773218142549,0.0007692649573018994
4/23/2022,308,olive,95562,6482,1,6,25,34,23,10,1,7,32,66,89,99,100,4.0600000000000005,0.0678303091186873,o,l,i,v,e,1,3,21,0.5938669175960152,0.017710583153347732,0.004427645788336933,0.00013433030178699307
4/24/2022,309,inert,97452,6743,0,7,27,34,22,9,1,7,34,68,90,99,100,4.0200000000000005,0.0691930386241431,i,n,e,r,t,1,2,20,0.668582014761893,0.01468682505399568,0.00367170626349892,1.3520861792135242e-05
4/25/2022,310,askew,91548,6549,0,3,13,29,32,19,4,3,16,45,77,96,100,4.63,0.0715362432822126,a,s,k,e,w,1,2,18,0.6324848551667335,0.06090712742980561,0.015226781857451403,6.842995155358755e-06
4/26/2022,311,heist,103153,6830,1,13,32,31,16,6,1,14,46,77,93,99,100,3.6999999999999993,0.0662123253807451,h,e,i,s,t,1,2,12,0.6651281800805846,0.029805615550755938,0.0074514038876889845,6.062354779016431e-06
4/27/2022,312,shown,98967,6564,0,6,26,36,22,8,1,6,32,68,90,98,99,3.99,0.0663251386825911,s,h,o,w,n,1,1,4,0.49090968711993516,0.15809935205183584,0.03952483801295896,0.000993310580073464
4/28/2022,313,zesty,88974,6315,0,2,12,27,30,22,7,2,14,41,71,93,100,4.79,0.0709757906804234,z,e,s,t,y,1,1,8,0.5683832020284582,0.0012958963282937365,0.00032397408207343413,3.035648717286099e-06
4/29/2022,314,stash,106652,7001,2,19,34,27,13,4,1,21,55,82,95,99,100,3.4599999999999995,0.065643400967633,s,t,a,s,h,4,1,4,0.6897413983366271,0.15809935205183584,0.03952483801295896,2.2446744451133387e-05
4/30/2022,315,larva,77991,5749,0,2,10,25,35,23,4,2,12,37,72,95,99,4.75,0.0737136336243925,l,a,r,v,a,4,2,9,0.6313275104267346,0.03801295896328294,0.009503239740820735,6.6787912409050326e-06
5/1/2022,316,forgo,77658,5699,0,1,9,26,37,23,3,1,10,36,73,96,99,4.7700000000000005,0.0733858713847897,f,o,r,g,o,4,2,9,0.4957490376841918,0.05874730021598272,0.01468682505399568,4.918113829123935e-06
5/2/2022,317,story,95643,6530,1,10,23,29,24,11,2,11,34,63,87,98,100,4.06,0.0682747299854667,s,t,o,r,y,1,1,4,0.6222316241912808,0.15809935205183584,0.03952483801295896,0.0019999448645555903
5/3/2022,318,hairy,85817,5941,1,8,24,33,23,10,1,9,33,66,89,99,100,4.03,0.0692287075987275,h,a,i,r,y,1,2,12,0.56037199208543,0.029805615550755938,0.0074514038876889845,0.0002753676096877513
5/4/2022,319,train,107750,7243,6,26,32,22,10,3,0,32,64,86,96,99,99,3.1,0.0672204176334106,t,r,a,i,n,1,2,6,0.6387935610923857,0.06436285097192225,0.016090712742980563,0.00045965785538100846
5/5/2022,320,homer,85979,6313,0,3,16,26,24,19,12,3,19,45,69,88,100,4.76,0.0734249060817176,h,o,m,e,r,1,2,10,0.5993057990661488,0.029805615550755938,0.0074514038876889845,6.185353132603981e-05
5/6/2022,321,badge,76292,5482,0,4,20,35,26,12,2,4,24,59,85,97,99,4.239999999999999,0.0718555025428616,b,a,d,g,e,1,2,9,0.5610631124737571,0.07473002159827213,0.018682505399568033,8.87784369574445e-05
5/7/2022,322,midst,74458,5233,0,3,25,39,24,9,1,3,28,67,91,100,101,4.180000000000001,0.0702812323726127,m,i,d,s,t,1,1,8,0.5284489068218072,0.04622030237580994,0.011555075593952484,4.88510257234699e-05
5/8/2022,323,canny,72518,5256,0,2,10,30,34,20,4,2,12,42,76,96,100,4.720000000000001,0.0724785570479053,c,a,n,n,y,4,1,8,0.5051717049461604,0.08552915766738661,0.021382289416846653,3.026344888242619e-06
5/9/2022,324,shine,88932,6146,1,14,32,30,17,6,1,15,47,77,94,100,101,3.73,0.0691089821436603,s,h,i,n,e,1,2,5,0.6482766800069151,0.15809935205183584,0.03952483801295896,8.497490451140207e-05
5/10/2022,325,gecko,74412,5489,0,2,16,38,29,12,2,2,18,56,85,97,99,4.35,0.0737649841423426,g,e,c,k,o,1,2,9,0.507334434358135,0.04967602591792657,0.012419006479481642,1.777278389970327e-05
