Date,Contest number,Word,Number of  reported results,Number in hard mode,1 try,2 tries,3 tries,4 tries,5 tries,6 tries,7 or more tries (X),under_2,under_3,under_4,under_5,under_6,Overall,D,Hard_rate
2/16/2022,242,caulk,342003,10740,1,4,20,31,26,15,3,5,25,56,82,97,100,4.34,0.03707014679640067
2/17/2022,243,shake,265238,12767,1,6,16,23,24,21,9,7,23,46,70,91,100,4.62,0.03733008189986638
2/18/2022,244,dodge,282327,10220,1,3,15,29,27,19,7,4,19,48,75,94,101,4.66,0.03853143214773147
2/19/2022,245,swill,273306,11241,1,1,8,19,31,30,10,2,10,29,60,90,100,5.08,0.03981553305209916
2/20/2022,246,tacit,278731,11094,1,4,21,32,26,14,3,5,26,58,84,98,101,4.35,0.040591864064455224
2/21/2022,247,other,306356,10887,1,9,26,30,21,10,2,10,36,66,87,97,99,3.96,0.03905916457085864
2/22/2022,248,thorn,277576,11814,1,14,38,30,12,4,0,15,53,83,95,99,99,3.4699999999999998,0.03856297901787463
2/23/2022,249,trove,250674,11411,1,5,16,24,25,22,8,6,22,46,71,93,101,4.68,0.0411094619131337
2/24/2022,250,bloke,250674,10405,1,6,21,32,25,12,2,7,28,60,85,97,99,4.1499999999999995,0.04150809417809585
2/25/2022,251,vivid,248363,11687,1,2,10,29,33,21,4,3,13,42,75,96,100,4.7,0.04566893441758139
2/26/2022,252,spill,248363,10087,1,5,26,34,22,10,2,6,32,66,88,98,100,4.09,0.040613940079641496
2/27/2022,253,chant,250413,10438,1,9,33,33,16,7,1,10,43,76,92,99,100,3.7899999999999996,0.04168313945362261
2/28/2022,254,choke,240137,10521,1,8,30,36,18,6,1,9,39,75,93,99,100,3.8399999999999994,0.04190064278716337
3/1/2022,255,rupee,240137,10577,1,2,17,35,30,13,2,3,20,55,85,98,100,4.38,0.044045690584957754
3/2/2022,256,nasty,240018,10813,1,7,26,31,21,11,2,8,34,65,86,97,99,4.02,0.042024220377452355
3/3/2022,257,mourn,240018,10465,1,8,29,34,19,8,1,9,38,72,91,99,100,3.9000000000000004,0.04360089659942171
3/4/2022,258,ahead,203730,9396,1,5,20,35,26,12,2,6,26,61,87,99,101,4.27,0.0461198645265793
3/5/2022,259,brine,229895,10405,1,9,25,29,22,12,3,10,35,64,86,98,101,4.13,0.04525979251397377
3/6/2022,260,cloth,218595,9911,1,8,33,34,17,7,1,9,42,76,93,100,101,3.86,0.04533955488460395
3/7/2022,261,hoard,218595,9823,1,9,30,34,19,7,1,10,40,74,93,100,101,3.89,0.04493698392003477
3/8/2022,262,sweet,207473,9767,1,5,18,31,28,15,2,6,24,55,83,98,100,4.329999999999999,0.0470760050705393
3/9/2022,263,month,201799,9435,1,5,26,37,22,8,1,6,32,69,91,99,100,4.0200000000000005,0.04675444377821496
3/10/2022,264,lapse,208884,9960,0,8,31,34,19,7,1,8,39,73,92,99,100,3.89,0.04768196702476015
3/11/2022,265,watch,226349,12400,1,6,14,18,17,24,20,7,21,39,56,80,100,4.96,0.054782658637767344
3/12/2022,266,today,192049,9353,1,7,29,35,20,7,1,8,37,72,92,99,100,3.9099999999999997,0.04870111273685362
3/13/2022,267,focus,179436,8937,1,4,23,36,24,10,1,5,28,64,88,98,99,4.09,0.0498060589848191
3/14/2022,268,smelt,185406,9373,0,5,19,33,28,13,2,5,24,57,85,98,100,4.31,0.05055391950638059
3/15/2022,269,tease,202855,10024,1,16,32,30,16,6,1,17,49,79,95,101,102,3.7199999999999998,0.0494146064923221
3/16/2022,270,cater,217856,11234,1,7,19,22,19,18,15,8,27,49,68,86,101,4.680000000000001,0.05156617215041128
3/17/2022,271,movie,169071,8847,1,5,18,30,26,16,3,6,24,54,80,96,99,4.32,0.05232712883936334
3/18/2022,272,saute,179830,9304,1,8,31,34,19,6,1,9,40,74,93,99,100,3.84,0.051737752321637104
3/19/2022,273,allow,156311,8515,0,5,21,32,26,14,3,5,26,58,84,98,101,4.359999999999999,0.05447473306421173
3/20/2022,274,renew,154987,8417,0,4,20,33,27,13,2,4,24,57,84,97,99,4.27,0.05430778065257086
3/21/2022,275,their,173636,9200,2,14,36,30,13,4,0,16,52,82,95,99,99,3.4699999999999998,0.052984404155820224
3/22/2022,276,slosh,160161,8807,0,2,19,36,27,13,2,2,21,57,84,97,99,4.319999999999999,0.05498841790448361
3/23/2022,277,purge,156785,8555,1,4,22,35,26,11,2,5,27,62,88,99,101,4.25,0.054565168861817136
3/24/2022,278,chest,169066,9318,1,14,35,31,14,5,1,15,50,81,95,100,101,3.65,0.05511457064105142
3/25/2022,279,depot,150197,8562,0,5,29,36,20,7,1,5,34,70,90,97,98,3.9,0.05700513325832074
3/26/2022,280,epoxy,149507,9376,0,2,13,31,33,18,3,2,15,46,79,97,100,4.61,0.06271278267907188
3/28/2022,282,found,173696,10613,1,6,17,22,20,21,14,7,24,46,66,87,101,4.760000000000001,0.06110100405305822
3/29/2022,283,shall,149070,8494,0,3,17,30,28,17,4,3,20,50,78,95,99,4.47,0.05697994230898236
3/30/2022,284,stove,158139,9318,0,5,16,24,27,21,6,5,21,45,72,93,99,4.57,0.05892284635668621
3/31/2022,285,lowly,135219,8469,0,2,9,26,32,24,8,2,11,37,69,93,101,4.950000000000001,0.06263173074789785
4/1/2022,286,snout,144648,8913,1,4,19,27,26,18,5,5,24,51,77,95,100,4.47,0.061618549858967975
4/2/2022,287,trope,155079,9315,1,16,33,28,15,6,1,17,50,78,93,99,100,3.62,0.060066159828216587
4/3/2022,288,fewer,124532,7931,0,2,10,24,32,26,6,2,12,36,68,94,100,4.88,0.063686442038994
4/4/2022,289,shawl,129651,7943,0,3,16,31,30,16,3,3,19,50,80,96,99,4.45,0.06126447154283422
4/5/2022,290,natal,121356,7702,0,2,14,32,32,17,3,2,16,48,80,97,100,4.569999999999999,0.06346616566135997
4/6/2022,291,comma,117856,7560,0,2,13,33,33,17,3,2,15,48,81,98,101,4.63,0.0641460765680152
4/7/2022,292,foray,117761,7575,0,2,14,31,31,19,4,2,16,47,78,97,101,4.67,0.06432520104279006
4/8/2022,293,scare,141158,9010,1,12,23,26,21,13,4,13,36,62,83,96,100,4.090000000000001,0.06382918431828165
4/9/2022,294,stair,134210,8537,2,21,36,26,11,4,1,23,59,85,96,100,101,3.4200000000000004,0.06360926905595708
4/10/2022,295,black,126241,7894,1,10,31,34,18,6,1,11,42,76,94,100,101,3.8299999999999996,0.06253119034228183
4/11/2022,296,squad,109828,7236,0,3,20,33,27,14,2,3,23,56,83,97,99,4.31,0.06588483811050005
4/12/2022,297,royal,114907,7275,1,5,24,36,23,9,1,6,30,66,89,98,99,4.03,0.06331206976076305
4/13/2022,298,chunk,123255,7835,1,4,29,42,18,5,1,5,34,76,94,99,100,3.9099999999999993,0.06356740091679851
4/14/2022,299,mince,113448,7356,0,6,24,35,24,10,1,6,30,65,89,99,100,4.11,0.06484027924687963
4/15/2022,300,shame,129991,8522,1,11,22,25,21,15,5,12,34,59,80,95,100,4.1899999999999995,0.06555838481125617
4/16/2022,301,cheek,107987,7035,0,3,19,40,28,9,1,3,22,62,90,99,100,4.24,0.06514673062498264
4/17/2022,302,ample,106681,7008,0,4,20,35,27,11,2,4,24,59,86,97,99,4.2299999999999995,0.0656911727486619
4/18/2022,303,flair,112383,7341,1,8,30,36,18,6,1,9,39,75,93,99,100,3.8399999999999994,0.06532126745148288
4/19/2022,304,foyer,108899,8198,0,2,10,19,19,23,26,2,12,31,50,73,99,5.25,0.07528076474531446
4/20/2022,305,cargo,102007,6796,0,5,20,34,27,12,2,5,25,59,86,98,100,4.27,0.06662287882204163
4/21/2022,306,oxide,97955,6960,0,2,11,30,33,21,4,2,13,43,76,97,101,4.76,0.07105303455668419
4/22/2022,307,plant,119232,7731,2,19,39,28,10,3,0,21,60,88,98,101,101,3.37,0.06483997584541062
4/23/2022,308,olive,95562,6482,1,6,25,34,23,10,1,7,32,66,89,99,100,4.0600000000000005,0.06783030911868734
4/24/2022,309,inert,97452,6743,0,7,27,34,22,9,1,7,34,68,90,99,100,4.0200000000000005,0.06919303862414317
4/25/2022,310,askew,91548,6549,0,3,13,29,32,19,4,3,16,45,77,96,100,4.63,0.07153624328221261
4/26/2022,311,heist,103153,6830,1,13,32,31,16,6,1,14,46,77,93,99,100,3.6999999999999993,0.0662123253807451
4/27/2022,312,shown,98967,6564,0,6,26,36,22,8,1,6,32,68,90,98,99,3.9899999999999998,0.06632513868259117
4/28/2022,313,zesty,88974,6315,0,2,12,27,30,22,7,2,14,41,71,93,100,4.79,0.07097579068042349
4/29/2022,314,stash,106652,7001,2,19,34,27,13,4,1,21,55,82,95,99,100,3.4599999999999995,0.06564340096763305
4/30/2022,315,larva,77991,5749,0,2,10,25,35,23,4,2,12,37,72,95,99,4.75,0.07371363362439255
5/1/2022,316,forgo,77658,5699,0,1,9,26,37,23,3,1,10,36,73,96,99,4.7700000000000005,0.07338587138478972
5/2/2022,317,story,95643,6530,1,10,23,29,24,11,2,11,34,63,87,98,100,4.06,0.06827472998546678
5/3/2022,318,hairy,85817,5941,1,8,24,33,23,10,1,9,33,66,89,99,100,4.03,0.06922870759872753
5/4/2022,319,train,107750,7243,6,26,32,22,10,3,0,32,64,86,96,99,99,3.1,0.06722041763341068
5/5/2022,320,homer,85979,6313,0,3,16,26,24,19,12,3,19,45,69,88,100,4.76,0.07342490608171763
5/6/2022,321,badge,76292,5482,0,4,20,35,26,12,2,4,24,59,85,97,99,4.239999999999999,0.07185550254286163
5/7/2022,322,midst,74458,5233,0,3,25,39,24,9,1,3,28,67,91,100,101,4.180000000000001,0.07028123237261275
5/8/2022,323,canny,72518,5256,0,2,10,30,34,20,4,2,12,42,76,96,100,4.720000000000001,0.07247855704790535
5/9/2022,324,shine,88932,6146,1,14,32,30,17,6,1,15,47,77,94,100,101,3.73,0.06910898214366032
5/10/2022,325,gecko,74412,5489,0,2,16,38,29,12,2,2,18,56,85,97,99,4.35,0.07376498414234263
5/11/2022,326,farce,79446,5688,0,9,26,32,21,9,1,9,35,67,88,97,98,3.9,0.07159580092138056
5/12/2022,327,slung,75673,5419,0,2,16,37,31,13,2,2,18,55,86,99,101,4.47,0.0716107462370991
5/13/2022,328,tipsy,77585,5522,0,6,33,38,17,5,1,6,39,77,94,99,100,3.8499999999999996,0.07117355158858027
5/14/2022,329,metal,73225,5290,1,10,31,34,18,7,1,11,42,76,94,101,102,3.8899999999999997,0.07224308637760328
5/15/2022,330,yield,67115,4963,0,4,16,29,29,18,4,4,20,49,78,96,100,4.53,0.07394770170602696
5/16/2022,331,delve,68349,5179,0,2,14,32,33,16,2,2,16,48,81,97,99,4.489999999999999,0.07577287158553893
5/17/2022,332,being,70722,5142,0,4,22,37,26,10,1,4,26,63,89,99,100,4.1899999999999995,0.07270721981844405
5/18/2022,333,scour,73933,5544,0,8,34,35,17,5,1,8,42,77,94,99,100,3.8,0.07498681238418568
5/19/2022,334,glass,70920,5162,0,4,19,33,27,14,3,4,23,56,83,97,100,4.37,0.07278623801466441
5/20/2022,335,gamer,69884,5238,1,4,17,28,26,18,6,5,22,50,76,94,100,4.5200000000000005,0.07495277889073322
5/21/2022,336,scrap,66814,4973,1,9,28,34,20,8,1,10,38,72,92,100,101,3.94,0.07443050857604694
5/22/2022,337,money,67909,4928,1,7,26,36,21,8,1,8,34,70,91,99,100,3.9699999999999998,0.07256770089384323
5/23/2022,338,hinge,66431,4906,0,5,25,37,22,9,2,5,30,67,89,98,100,4.11,0.0738510635095061
5/24/2022,339,album,63380,4809,0,5,26,35,24,9,1,5,31,66,90,99,100,4.090000000000001,0.07587567055853582
5/25/2022,340,vouch,62723,4835,0,2,9,25,33,24,6,2,11,36,69,93,99,4.82,0.07708496085965276
5/26/2022,341,asset,63188,4733,0,7,28,34,21,8,1,7,35,69,90,98,99,3.9399999999999995,0.07490346268278787
5/27/2022,342,tiara,63846,4842,0,8,36,33,17,6,1,8,44,77,94,100,101,3.84,0.07583873696081195
5/28/2022,343,crept,60069,4562,0,4,27,38,22,7,1,4,31,69,91,98,99,4.0,0.07594599543857897
5/29/2022,344,bayou,56839,4435,0,6,17,33,29,13,2,6,23,56,85,98,100,4.32,0.07802741075669875
5/30/2022,345,atoll,60969,4741,0,6,28,36,21,8,1,6,34,70,91,99,100,4.0,0.07776082927389329
5/31/2022,346,manor,62768,4802,0,6,27,34,21,10,2,6,33,67,88,98,100,4.08,0.07650395105786388
6/1/2022,347,creak,63241,4797,0,5,21,32,25,14,3,5,26,58,83,97,100,4.31,0.07585269050141522
6/2/2022,348,showy,61278,4770,0,2,16,37,30,13,2,2,18,55,85,98,100,4.42,0.07784196612160971
6/3/2022,349,peach,65431,4957,1,13,38,32,13,3,0,14,52,84,97,100,100,3.52,0.0757591967110391
6/4/2022,350,froth,58263,4432,0,5,22,35,25,11,1,5,27,62,87,98,99,4.140000000000001,0.07606886016854608
6/5/2022,351,depth,56738,4329,0,6,28,39,20,6,1,6,34,73,93,99,100,3.9499999999999997,0.07629807183897917
6/6/2022,352,gloom,58478,4548,0,2,14,35,35,13,1,2,16,51,86,99,100,4.460000000000001,0.07777283764834639
6/7/2022,353,flood,58991,4440,0,3,20,40,28,8,1,3,23,63,91,99,100,4.210000000000001,0.07526571849943212
6/8/2022,354,trait,61026,4607,0,6,22,35,24,11,2,6,28,63,87,98,100,4.18,0.07549241306983909
6/9/2022,355,girth,60020,4665,0,6,23,33,23,12,3,6,29,62,85,97,100,4.21,0.07772409196934356
6/10/2022,356,piety,55376,4324,0,4,25,41,22,7,1,4,29,70,92,99,100,4.0600000000000005,0.07808436867957237
6/11/2022,357,goose,51958,4087,0,2,12,28,32,21,5,2,14,42,74,95,100,4.7299999999999995,0.0786596866700027
6/12/2022,358,float,56684,4323,1,12,30,32,18,6,1,13,43,75,93,99,100,3.7599999999999993,0.07626490720485499
6/13/2022,359,donor,53802,4142,0,3,27,38,23,7,1,3,30,68,91,98,99,4.03,0.07698598565109104
6/14/2022,360,atone,59968,4762,2,16,34,29,14,4,1,18,52,81,95,99,100,3.53,0.0794090181430096
6/15/2022,361,primo,55989,4391,0,3,22,38,25,10,2,3,25,63,88,98,100,4.2299999999999995,0.07842611941631392
6/16/2022,362,apron,53430,4112,0,7,30,38,19,5,1,7,37,75,94,99,100,3.88,0.0769605090772974
6/17/2022,363,blown,54665,4251,0,6,23,35,26,10,1,6,29,64,90,100,101,4.18,0.07776456599286563
6/18/2022,364,cacao,47205,4101,0,1,9,27,36,23,4,1,10,37,73,96,100,4.83,0.08687639021290118
6/19/2022,365,loser,55359,4399,1,10,28,32,19,8,2,11,39,71,90,98,100,3.9000000000000004,0.07946314059141242
6/20/2022,366,input,50484,3950,0,5,30,38,21,6,1,5,35,73,94,100,101,4.0,0.07824261152048173
6/21/2022,367,gloat,53342,4194,0,8,21,31,26,12,2,8,29,60,86,98,100,4.1899999999999995,0.0786247234824341
6/22/2022,368,awful,47645,3861,0,5,21,33,27,12,2,5,26,59,86,98,100,4.26,0.0810368349249659
6/23/2022,369,brink,53111,4118,0,4,22,41,24,7,1,4,26,67,91,98,99,4.07,0.0775357270621905
6/24/2022,370,smite,50617,3991,0,6,23,35,24,11,2,6,29,64,88,99,101,4.21,0.07884702767844795
6/25/2022,371,beady,46089,3670,0,3,19,39,29,10,1,3,22,61,90,100,101,4.3100000000000005,0.07962854477207143
6/26/2022,372,rusty,50450,3954,0,9,37,34,13,5,1,9,46,80,93,98,99,3.6699999999999995,0.07837462834489593
6/27/2022,373,retro,47986,3848,0,6,24,35,24,9,1,6,30,65,89,98,99,4.050000000000001,0.08019005543283457
6/28/2022,374,droll,47312,3844,0,2,16,31,31,17,3,2,18,49,80,97,100,4.54,0.08124788637132228
6/29/2022,375,gawky,45645,3957,0,1,5,22,33,28,10,1,6,28,61,89,99,5.08,0.08669076569175156
6/30/2022,376,hutch,44212,3758,0,1,12,28,28,21,9,1,13,41,69,90,99,4.79,0.08499954763412648
7/1/2022,377,pinto,47248,3792,0,5,25,41,22,6,1,5,30,71,93,99,100,4.0200000000000005,0.08025736539112767
7/2/2022,378,egret,41765,3515,0,3,14,33,33,15,2,3,17,50,83,98,100,4.489999999999999,0.08416137914521729
7/3/2022,379,lilac,40486,3461,0,2,17,38,29,12,1,2,19,57,86,98,99,4.3100000000000005,0.08548634095736798
7/4/2022,380,sever,42645,3591,0,2,13,27,29,21,7,2,15,42,71,92,99,4.71,0.08420682377769961
7/5/2022,381,field,44578,3604,1,6,25,36,23,9,1,7,32,68,91,100,101,4.08,0.08084705460092423
7/6/2022,382,fluff,47344,4049,0,0,4,25,44,23,4,0,4,29,73,96,100,4.98,0.08552298073673538
7/7/2022,383,agape,43407,3671,0,2,18,36,27,15,3,2,20,56,83,98,101,4.4799999999999995,0.08457161287349967
7/8/2022,384,voice,42806,3484,1,5,24,35,25,9,1,6,30,65,90,99,100,4.09,0.08139045928140914
7/9/2022,385,stead,47094,3933,1,6,20,27,28,16,3,7,27,54,82,98,101,4.38,0.0835138234169958
7/10/2022,386,berth,41785,3494,0,7,24,35,24,9,1,7,31,66,90,99,100,4.07,0.08361852339356228
7/11/2022,387,madam,40545,3430,0,3,13,35,34,14,2,3,16,51,85,99,101,4.53,0.0845973609569614
7/12/2022,388,night,46910,3870,1,8,27,27,17,13,7,9,36,63,80,93,100,4.180000000000001,0.08249840119377531
7/13/2022,389,bland,46246,3727,0,7,31,38,18,4,0,7,38,76,94,98,98,3.7299999999999995,0.08059075379492281
7/14/2022,390,liver,40549,3388,0,4,16,26,25,20,8,4,20,46,71,91,99,4.609999999999999,0.08355323189227848
7/15/2022,391,wedge,39234,3353,0,2,11,32,37,17,2,2,13,45,82,99,101,4.659999999999999,0.08546158943773258
7/16/2022,392,roomy,38769,3280,0,2,17,41,28,10,2,2,19,60,88,98,100,4.33,0.0846036781964972
7/17/2022,393,wacky,39611,3345,0,3,18,39,27,10,2,3,21,60,87,97,99,4.25,0.08444623968089672
7/18/2022,394,flock,42574,3548,0,4,22,37,27,9,1,4,26,63,90,99,100,4.18,0.0833372480856861
7/19/2022,395,angry,39667,3358,0,5,27,38,21,7,1,5,32,70,91,98,99,3.9699999999999993,0.08465475080041344
7/20/2022,396,trite,42237,3685,0,4,14,22,22,23,15,4,18,40,62,85,100,4.91,0.08724577976655538
7/21/2022,397,aphid,39086,3367,0,6,24,36,23,9,2,6,30,66,89,98,100,4.109999999999999,0.08614337614491122
7/22/2022,398,tryst,43099,3665,0,3,26,41,23,6,1,3,29,70,93,99,100,4.0600000000000005,0.08503677579526207
7/23/2022,399,midge,36769,3111,0,2,18,39,28,10,2,2,20,59,87,97,99,4.279999999999999,0.08460931763170061
7/24/2022,400,power,39813,3401,2,6,19,29,24,15,4,8,27,56,80,95,99,4.25,0.0854243588777535
7/25/2022,401,elope,39228,3339,0,4,22,32,26,13,2,4,26,58,84,97,99,4.24,0.08511777301927195
7/26/2022,402,cinch,39171,3507,0,2,15,24,22,25,13,2,17,41,63,88,101,4.96,0.08953052002757142
7/27/2022,403,motto,38384,3285,0,1,11,36,36,14,1,1,12,48,84,98,99,4.5,0.08558253438932889
7/28/2022,404,stomp,40650,3490,0,7,26,32,21,11,2,7,33,65,86,97,99,4.05,0.08585485854858549
7/29/2022,405,upset,37791,3213,0,5,30,38,20,6,1,5,35,73,93,99,100,3.9499999999999997,0.08502024291497975
7/30/2022,406,bluff,37353,3171,0,2,14,42,31,10,1,2,16,58,89,99,100,4.359999999999999,0.08489277969640993
7/31/2022,407,cramp,39250,3369,1,8,26,33,19,10,2,9,35,68,87,97,99,3.9600000000000004,0.0858343949044586
8/1/2022,408,quart,36662,3303,0,5,20,33,27,13,2,5,25,58,85,98,100,4.29,0.09009328459985816
8/2/2022,409,coyly,34909,3380,0,0,4,17,28,35,15,0,4,21,49,84,99,5.3500000000000005,0.09682316881033544
8/3/2022,410,youth,38381,3327,1,5,17,31,29,15,3,6,23,54,83,98,101,4.42,0.08668351528099841
8/4/2022,411,rhyme,37229,3336,0,4,22,39,25,8,1,4,26,65,90,98,99,4.1,0.08960756399580971
8/5/2022,412,buggy,37350,3428,0,1,9,29,34,22,5,1,10,39,73,95,100,4.82,0.09178045515394913
8/6/2022,413,alien,38841,3395,3,17,31,29,15,4,0,20,51,80,95,99,99,3.45,0.0874076362606524
8/7/2022,414,smear,36223,3190,0,2,16,39,29,12,2,2,18,57,86,98,100,4.39,0.08806559368357121
8/8/2022,415,unfit,35516,3187,0,3,24,38,25,9,1,3,27,65,90,99,100,4.16,0.08973420430228629
8/9/2022,416,patty,36223,3019,0,2,16,39,29,12,1,2,18,57,86,98,99,4.32,0.08334483615382492
8/10/2022,417,cling,37654,3312,0,4,20,34,27,13,2,4,24,58,85,98,100,4.31,0.08795878259945822
8/11/2022,418,glean,37301,3243,0,6,23,37,24,8,1,6,29,66,90,98,99,4.04,0.08694136886410551
8/12/2022,419,label,34198,3076,0,4,18,32,29,15,2,4,22,54,83,98,100,4.39,0.08994678051348032
8/13/2022,420,hunky,35276,3185,0,1,11,33,25,22,7,1,12,45,70,92,99,4.73,0.09028801451411725
8/14/2022,421,khaki,31652,2968,0,2,17,33,28,16,4,2,19,52,80,96,100,4.510000000000001,0.09376974598761531
8/15/2022,422,poker,35376,3180,0,4,17,30,27,17,5,4,21,51,78,95,100,4.51,0.08989145183175033
8/16/2022,423,gruel,35105,3087,0,3,19,39,29,9,1,3,22,61,90,99,100,4.25,0.08793619142572283
8/17/2022,424,twice,35815,3173,1,6,28,38,21,6,1,7,35,73,94,100,101,3.9699999999999998,0.08859416445623342
8/18/2022,425,twang,34938,3172,0,3,22,43,25,7,1,3,25,68,93,100,101,4.180000000000001,0.09078939836281413
8/19/2022,426,shrug,33965,2987,0,4,23,36,26,10,1,4,27,63,89,99,100,4.18,0.08794347122037391
8/20/2022,427,treat,38245,3249,1,22,32,26,14,5,1,23,55,81,95,100,101,3.52,0.08495228134396653
8/21/2022,428,waste,35617,3186,1,7,19,27,24,17,5,8,27,54,78,95,100,4.369999999999999,0.08945166633910773
8/22/2022,429,merit,35888,3123,0,7,33,37,17,5,0,7,40,77,94,99,99,3.76,0.08702073116362015
8/23/2022,430,woven,33549,2933,0,2,13,32,32,17,3,2,15,47,79,96,99,4.54,0.08742436436257414
8/24/2022,431,needy,33700,2927,0,2,21,41,26,9,1,2,23,64,90,99,100,4.220000000000001,0.08685459940652819
8/25/2022,432,clown,36737,3175,1,8,29,36,20,6,1,9,38,74,94,100,101,3.9099999999999997,0.08642512997795139
8/26/2022,433,irony,34716,3046,0,6,29,34,21,8,1,6,35,69,90,98,99,3.95,0.08774052310173983
8/27/2022,434,ruder,31241,2784,0,2,16,33,29,16,4,2,18,51,80,96,100,4.53,0.08911366473544381
8/28/2022,435,gauze,30214,2866,0,2,11,24,31,25,8,2,13,37,68,93,101,4.9399999999999995,0.09485668895214139
8/29/2022,436,chief,34281,3072,1,6,32,38,18,5,0,7,39,77,95,100,100,3.8099999999999996,0.08961232169423296
