Contest number,Word,D,pos_0,pos_1,pos_2,pos_3,pos_4,Mul,V,FS,Fsentropy,FF,FFentropy,FB,FBentropy,FE,FEentropy
384,voice,4.09,v,o,i,c,e,1,3,0.552297315,0.856482981,0.018574514,5.750531726,0.004643629,7.750531571,0.00093328,10.0654024
385,stead,4.38,s,t,e,a,d,1,2,0.741102248,0.432255494,0.158099352,2.66109664,0.039524838,4.66109664,1.05E-05,16.53925115
386,berth,4.07,b,e,r,t,h,1,1,0.567247859,0.817948836,0.074730022,3.742168243,0.018682505,5.742168281,1.53E-05,15.99610882
387,madam,4.53,m,a,d,a,m,16,2,0.546760034,0.871020303,0.046220302,4.435329503,0.011555076,6.435329441,2.92E-05,15.06367211
388,night,4.18,n,i,g,h,t,1,1,0.432565338,1.20901003,0.015982721,5.967343147,0.00399568,7.967343237,0.00188578,9.050622907
389,bland,3.73,b,l,a,n,d,1,1,0.506941616,0.980108492,0.074730022,3.742168243,0.018682505,5.742168281,2.32E-05,15.39551567
390,liver,4.61,l,i,v,e,r,1,2,0.598417937,0.740774676,0.038012959,4.717364858,0.00950324,6.71736482,0.000175377,12.47725282
391,wedge,4.66,w,e,d,g,e,4,2,0.574000723,0.800875541,0.035853132,4.801757037,0.008963283,6.801757037,4.57E-05,14.41744631
392,roomy,4.33,r,o,o,m,y,4,2,0.533502461,0.906433169,0.045356371,4.462550976,0.011339093,6.462550944,8.30E-06,16.87845723
393,wacky,4.25,w,a,c,k,y,1,1,0.391733129,1.352056952,0.035853132,4.801757037,0.008963283,6.801757037,2.69E-05,15.1820343
394,flock,4.18,f,l,o,c,k,1,1,0.395406947,1.338589877,0.0587473,4.089333642,0.014686825,6.089333642,3.73E-05,14.71046484
