Id,Date,Contest number,reported_results,predict_data
95,4/11/2022,296,109828,0.0
96,4/12/2022,297,114907,0.0
97,4/13/2022,298,123255,0.0
98,4/14/2022,299,113448,0.0
99,4/15/2022,300,129991,0.0
100,4/16/2022,301,107987,0.0
101,4/17/2022,302,106681,0.0
102,4/18/2022,303,112383,0.0
103,4/19/2022,304,108899,0.0
104,4/20/2022,305,102007,0.0
105,4/21/2022,306,97955,0.0
106,4/22/2022,307,119232,0.0
107,4/23/2022,308,95562,0.0
108,4/24/2022,309,97452,0.0
109,4/25/2022,310,91548,0.0
110,4/26/2022,311,103153,0.0
111,4/27/2022,312,98967,0.0
112,4/28/2022,313,88974,0.0
113,4/29/2022,314,106652,0.0
114,4/30/2022,315,77991,0.0
115,5/1/2022,316,77658,0.0
116,5/2/2022,317,95643,0.0
117,5/3/2022,318,85817,0.0
118,5/4/2022,319,107750,0.0
119,5/5/2022,320,85979,0.0
120,5/6/2022,321,76292,0.0
121,5/7/2022,322,74458,0.0
122,5/8/2022,323,72518,0.0
123,5/9/2022,324,88932,0.0
124,5/10/2022,325,74412,0.0
125,5/11/2022,326,79446,0.0
126,5/12/2022,327,75673,0.0
127,5/13/2022,328,77585,0.0
128,5/14/2022,329,73225,0.0
129,5/15/2022,330,67115,0.0
130,5/16/2022,331,68349,0.0
131,5/17/2022,332,70722,0.0
132,5/18/2022,333,73933,0.0
133,5/19/2022,334,70920,0.0
134,5/20/2022,335,69884,0.0
135,5/21/2022,336,66814,0.0
136,5/22/2022,337,67909,0.0
137,5/23/2022,338,66431,0.0
138,5/24/2022,339,63380,0.0
139,5/25/2022,340,62723,0.0
140,5/26/2022,341,63188,0.0
141,5/27/2022,342,63846,0.0
142,5/28/2022,343,60069,0.0
143,5/29/2022,344,56839,0.0
144,5/30/2022,345,60969,0.0
145,5/31/2022,346,62768,0.0
146,6/1/2022,347,63241,0.0
147,6/2/2022,348,61278,0.0
148,6/3/2022,349,65431,0.0
149,6/4/2022,350,58263,0.0
150,6/5/2022,351,56738,0.0
151,6/6/2022,352,58478,0.0
152,6/7/2022,353,58991,0.0
153,6/8/2022,354,61026,0.0
154,6/9/2022,355,60020,0.0
155,6/10/2022,356,55376,0.0
156,6/11/2022,357,51958,0.0
157,6/12/2022,358,56684,0.0
158,6/13/2022,359,53802,0.0
159,6/14/2022,360,59968,0.0
160,6/15/2022,361,55989,0.0
161,6/16/2022,362,53430,0.0
162,6/17/2022,363,54665,0.0
163,6/18/2022,364,47205,0.0
164,6/19/2022,365,55359,0.0
165,6/20/2022,366,50484,0.0
166,6/21/2022,367,53342,0.0
167,6/22/2022,368,47645,0.0
168,6/23/2022,369,53111,0.0
169,6/24/2022,370,50617,0.0
170,6/25/2022,371,46089,0.0
171,6/26/2022,372,50450,0.0
172,6/27/2022,373,47986,0.0
173,6/28/2022,374,47312,0.0
174,6/29/2022,375,45645,0.0
175,6/30/2022,376,44212,0.0
176,7/1/2022,377,47248,0.0
177,7/2/2022,378,41765,0.0
178,7/3/2022,379,40486,0.0
179,7/4/2022,380,42645,0.0
180,7/5/2022,381,44578,0.0
181,7/6/2022,382,47344,0.0
182,7/7/2022,383,43407,0.0
183,7/8/2022,384,42806,0.0
184,7/9/2022,385,47094,0.0
185,7/10/2022,386,41785,0.0
186,7/11/2022,387,40545,0.0
187,7/12/2022,388,46910,0.0
188,7/13/2022,389,46246,0.0
189,7/14/2022,390,40549,0.0
190,7/15/2022,391,39234,0.0
191,7/16/2022,392,38769,0.0
192,7/17/2022,393,39611,0.0
193,7/18/2022,394,42574,0.0
194,7/19/2022,395,39667,0.0
195,7/20/2022,396,42237,0.0
196,7/21/2022,397,39086,0.0
197,7/22/2022,398,43099,0.0
198,7/23/2022,399,36769,0.0
199,7/24/2022,400,39813,0.0
200,7/25/2022,401,39228,0.0
201,7/26/2022,402,39171,0.0
202,7/27/2022,403,38384,0.0
203,7/28/2022,404,40650,0.0
204,7/29/2022,405,37791,0.0
205,7/30/2022,406,37353,0.0
206,7/31/2022,407,39250,0.0
207,8/1/2022,408,36662,0.0
208,8/2/2022,409,34909,0.0
209,8/3/2022,410,38381,0.0
210,8/4/2022,411,37229,0.0
211,8/5/2022,412,37350,0.0
212,8/6/2022,413,38841,0.0
213,8/7/2022,414,36223,0.0
214,8/8/2022,415,35516,0.0
215,8/9/2022,416,36223,0.0
216,8/10/2022,417,37654,0.0
217,8/11/2022,418,37301,0.0
218,8/12/2022,419,34198,0.0
219,8/13/2022,420,35276,0.0
220,8/14/2022,421,31652,0.0
221,8/15/2022,422,35376,0.0
222,8/16/2022,423,35105,0.0
223,8/17/2022,424,35815,0.0
224,8/18/2022,425,34938,0.0
225,8/19/2022,426,33965,0.0
226,8/20/2022,427,38245,0.0
227,8/21/2022,428,35617,0.0
228,8/22/2022,429,35888,0.0
229,8/23/2022,430,33549,0.0
230,8/24/2022,431,33700,0.0
231,8/25/2022,432,36737,0.0
232,8/26/2022,433,34716,0.0
233,8/27/2022,434,31241,0.0
234,8/28/2022,435,30214,0.0
235,8/29/2022,436,34281,0.0
236,8/30/2022,437,33660,0.0
237,8/31/2022,438,35343,0.0
238,9/1/2022,439,31903,0.0
239,9/2/2022,440,35724,0.0
240,9/3/2022,441,31191,0.0
241,9/4/2022,442,32018,0.0
242,9/5/2022,443,32733,0.0
243,9/6/2022,444,32734,0.0
244,9/7/2022,445,30992,0.0
245,9/8/2022,446,31962,0.0
246,9/9/2022,447,32172,0.0
247,9/10/2022,448,29237,0.0
248,9/11/2022,449,27887,0.0
249,9/12/2022,450,29147,0.0
250,9/13/2022,451,29497,0.0
251,9/14/2022,452,32142,0.0
252,9/15/2022,453,33344,0.0
253,9/16/2022,454,37309,0.0
254,9/17/2022,455,33418,0.0
255,9/18/2022,456,33102,0.0
256,9/19/2022,457,35050,0.0
257,9/20/2022,458,31277,0.0
258,9/21/2022,459,31976,0.0
259,9/22/2022,460,34455,0.0
260,9/23/2022,461,31509,0.0
261,9/24/2022,462,32777,0.0
262,9/25/2022,463,28994,0.0
263,9/26/2022,464,31706,0.0
264,9/27/2022,465,30985,0.0
265,9/28/2022,466,31355,0.0
266,9/29/2022,467,30477,0.0
267,9/30/2022,468,31223,0.0
268,10/1/2022,469,28202,0.0
269,10/2/2022,470,30088,0.0
270,10/3/2022,471,32288,0.0
271,10/4/2022,472,32014,0.0
272,10/5/2022,473,30935,0.0
273,10/6/2022,474,32522,0.0
274,10/7/2022,475,29026,0.0
275,10/8/2022,476,26905,0.0
276,10/9/2022,477,28408,0.0
277,10/10/2022,478,26878,0.0
278,10/11/2022,479,28575,0.0
279,10/12/2022,480,29151,0.0
280,10/13/2022,481,27197,0.0
281,10/14/2022,482,28906,0.0
282,10/15/2022,483,30403,0.0
283,10/16/2022,484,30459,0.0
284,10/17/2022,485,31269,0.0
285,10/18/2022,486,28612,0.0
286,10/19/2022,487,28322,0.0
287,10/20/2022,488,28741,0.0
288,10/21/2022,489,28637,0.0
289,10/22/2022,490,29084,0.0
290,10/23/2022,491,29279,0.0
291,10/24/2022,492,28947,0.0
292,10/25/2022,493,28953,0.0
293,10/26/2022,494,30063,0.0
294,10/27/2022,495,27609,0.0
295,10/28/2022,496,27905,0.0
296,10/29/2022,497,25156,0.0
297,10/30/2022,498,24672,0.0
298,10/31/2022,499,26498,0.0
299,11/1/2022,500,27502,0.0
300,11/2/2022,501,27670,0.0
301,11/3/2022,502,29554,0.0
302,11/4/2022,503,27330,0.0
303,11/5/2022,504,29743,0.0
304,11/6/2022,505,31068,0.0
305,11/7/2022,506,26096,0.0
306,11/8/2022,507,27213,0.0
307,11/9/2022,508,28984,0.0
308,11/10/2022,509,27467,0.0
309,11/11/2022,510,25993,0.0
310,11/12/2022,511,24660,0.0
311,11/13/2022,512,25085,0.0
312,11/14/2022,513,26536,0.0
313,11/15/2022,514,27475,0.0
314,11/16/2022,515,25576,0.0
315,11/17/2022,516,27465,0.0
316,11/18/2022,517,29208,0.0
317,11/19/2022,518,24749,0.0
318,11/20/2022,519,24991,0.0
319,11/21/2022,520,24288,0.0
320,11/22/2022,521,27437,0.0
321,11/23/2022,522,26663,0.0
322,11/24/2022,523,27705,0.0
323,11/25/2022,524,24197,0.0
324,11/26/2022,525,26381,0.0
325,11/27/2022,526,25206,0.0
326,11/28/2022,527,26051,0.0
327,11/29/2022,528,23739,0.0
328,11/30/2022,529,2569,0.0
329,12/1/2022,530,22628,0.0
330,12/2/2022,531,24646,0.0
331,12/3/2022,532,23873,0.0
332,12/4/2022,533,25577,0.0
333,12/5/2022,534,23153,0.0
334,12/6/2022,535,23509,0.0
335,12/7/2022,536,24899,0.0
336,12/8/2022,537,21199,0.0
337,12/9/2022,538,23640,0.0
338,12/10/2022,539,21157,0.0
339,12/11/2022,540,21947,0.0
340,12/12/2022,541,22873,0.0
341,12/13/2022,542,24101,0.0
342,12/14/2022,543,20824,0.0
343,12/15/2022,544,22176,0.0
344,12/16/2022,545,22853,0.0
345,12/17/2022,546,22336,0.0
346,12/18/2022,547,22166,0.0
347,12/19/2022,548,26010,0.0
348,12/20/2022,549,24137,0.0
349,12/21/2022,550,22180,0.0
350,12/22/2022,551,20490,0.0
351,12/23/2022,552,21937,0.0
352,12/24/2022,553,20281,0.0
353,12/25/2022,554,15554,0.0
354,12/26/2022,555,20011,0.0
355,12/27/2022,556,20879,0.0
356,12/28/2022,557,20160,0.0
357,12/29/2022,558,20001,0.0
358,12/30/2022,559,21204,0.0
359,12/31/2022,560,0,0.0
360,1/1/2023,561,0,0.0
361,1/2/2023,562,0,0.0
362,1/3/2023,563,0,0.0
363,1/4/2023,564,0,0.0
364,1/5/2023,565,0,0.0
365,1/6/2023,566,0,0.0
366,1/7/2023,567,0,0.0
367,1/8/2023,568,0,0.0
368,1/9/2023,569,0,0.0
369,1/10/2023,570,0,0.0
370,1/11/2023,571,0,0.0
371,1/12/2023,572,0,0.0
372,1/13/2023,573,0,0.0
373,1/14/2023,574,0,0.0
374,1/15/2023,575,0,0.0
375,1/16/2023,576,0,0.0
376,1/17/2023,577,0,0.0
377,1/18/2023,578,0,0.0
378,1/19/2023,579,0,0.0
379,1/20/2023,580,0,0.0
380,1/21/2023,581,0,0.0
381,1/22/2023,582,0,0.0
382,1/23/2023,583,0,0.0
383,1/24/2023,584,0,0.0
384,1/25/2023,585,0,0.0
385,1/26/2023,586,0,0.0
386,1/27/2023,587,0,0.0
387,1/28/2023,588,0,0.0
388,1/29/2023,589,0,0.0
389,1/30/2023,590,0,0.0
390,1/31/2023,591,0,0.0
391,2/1/2023,592,0,0.0
392,2/2/2023,593,0,0.0
393,2/3/2023,594,0,0.0
394,2/4/2023,595,0,0.0
395,2/5/2023,596,0,0.0
396,2/6/2023,597,0,0.0
397,2/7/2023,598,0,0.0
398,2/8/2023,599,0,0.0
399,2/9/2023,600,0,0.0
400,2/10/2023,601,0,0.0
401,2/11/2023,602,0,0.0
402,2/12/2023,603,0,0.0
403,2/13/2023,604,0,0.0
404,2/14/2023,605,0,0.0
405,2/15/2023,606,0,0.0
406,2/16/2023,607,0,0.0
407,2/17/2023,608,0,0.0
408,2/18/2023,609,0,0.0
409,2/19/2023,610,0,0.0
410,2/20/2023,611,0,0.0
411,2/21/2023,612,0,0.0
412,2/22/2023,613,0,0.0
413,2/23/2023,614,0,0.0
414,2/24/2023,615,0,0.0
415,2/25/2023,616,0,0.0
416,2/26/2023,617,0,0.0
417,2/27/2023,618,0,0.0
418,2/28/2023,619,0,0.0
419,3/1/2023,620,0,0.0
420,3/2/2023,621,0,0.0
421,3/3/2023,622,0,0.0
422,3/4/2023,623,0,0.0
423,3/5/2023,624,0,0.0
424,3/6/2023,625,0,0.0
425,3/7/2023,626,0,0.0
426,3/8/2023,627,0,0.0
427,3/9/2023,628,0,0.0
428,3/10/2023,629,0,0.0
429,3/11/2023,630,0,0.0
430,3/12/2023,631,0,0.0
431,3/13/2023,632,0,0.0
432,3/14/2023,633,0,0.0
433,3/15/2023,634,0,0.0
434,3/16/2023,635,0,0.0
435,3/17/2023,636,0,0.0
436,3/18/2023,637,0,0.0
437,3/19/2023,638,0,0.0
438,3/20/2023,639,0,0.0
439,3/21/2023,640,0,0.0
440,3/22/2023,641,0,0.0
441,3/23/2023,642,0,0.0
442,3/24/2023,643,0,0.0
443,3/25/2023,644,0,0.0
444,3/26/2023,645,0,0.0
445,3/27/2023,646,0,0.0
446,3/28/2023,647,0,0.0
447,3/29/2023,648,0,0.0
448,3/30/2023,649,0,0.0
449,3/31/2023,650,0,0.0
450,4/1/2023,651,0,0.0
451,4/2/2023,652,0,0.0
452,4/3/2023,653,0,0.0
453,4/4/2023,654,0,0.0
454,4/5/2023,655,0,0.0
455,4/6/2023,656,0,0.0
456,4/7/2023,657,0,0.0
457,4/8/2023,658,0,0.0
458,4/9/2023,659,0,0.0
459,4/10/2023,660,0,0.0
460,4/11/2023,661,0,0.0
461,4/12/2023,662,0,0.0
462,4/13/2023,663,0,0.0
463,4/14/2023,664,0,0.0
464,4/15/2023,665,0,0.0
465,4/16/2023,666,0,0.0
466,4/17/2023,667,0,0.0
467,4/18/2023,668,0,0.0
468,4/19/2023,669,0,0.0
469,4/20/2023,670,0,0.0
470,4/21/2023,671,0,0.0
471,4/22/2023,672,0,0.0
472,4/23/2023,673,0,0.0
473,4/24/2023,674,0,0.0
474,4/25/2023,675,0,0.0
475,4/26/2023,676,0,0.0
476,4/27/2023,677,0,0.0
477,4/28/2023,678,0,0.0
478,4/29/2023,679,0,0.0
479,4/30/2023,680,0,0.0
480,5/1/2023,681,0,0.0
481,5/2/2023,682,0,0.0
482,5/3/2023,683,0,0.0
483,5/4/2023,684,0,0.0
484,5/5/2023,685,0,0.0
485,5/6/2023,686,0,0.0
486,5/7/2023,687,0,0.0
487,5/8/2023,688,0,0.0
488,5/9/2023,689,0,0.0
489,5/10/2023,690,0,0.0
490,5/11/2023,691,0,0.0
491,5/12/2023,692,0,0.0
492,5/13/2023,693,0,0.0
493,5/14/2023,694,0,0.0
494,5/15/2023,695,0,0.0
495,5/16/2023,696,0,0.0
496,5/17/2023,697,0,0.0
497,5/18/2023,698,0,0.0
498,5/19/2023,699,0,0.0
499,5/20/2023,700,0,0.0
500,5/21/2023,701,0,0.0
